"parameter","method","coverage","bias","MSE"
"DTE..23","group.time.ATT.ever.adopted",0.95,0.000209383596165257,3.33091879882022e-05
"DTE..23","TWFE",0.935,0.000162148493101163,8.73612370824196e-05
"DTE..23","TWFE.ever.adopted",0.935,0.000162148493101163,8.73612370824196e-05
"DTE..24","group.time.ATT",0.997,-4.10796752065842e-05,7.61770269229788e-06
"DTE..24","group.time.ATT.ever.adopted",0.958,-0.000344092264047441,3.24179979418645e-05
"DTE..24","TWFE",0.964,-5.65628230639278e-05,5.44702775706431e-05
"DTE..24","TWFE.ever.adopted",0.964,-5.65628230639278e-05,5.44702775706431e-05
"DTE..25","group.time.ATT",0.997,8.23262771229102e-05,7.97605232192091e-06
"DTE..25","group.time.ATT.ever.adopted",0.957,2.93085609670552e-05,3.25249100168939e-05
"DTE..25","TWFE",0.949,0.000198992384521082,8.47012680587681e-05
"DTE..25","TWFE.ever.adopted",0.949,0.000198992384521082,8.47012680587681e-05
"DTE..26","group.time.ATT",0.999,-2.96344294546856e-05,8.19012157386436e-06
"DTE..26","group.time.ATT.ever.adopted",0.954,6.48338404611144e-05,3.08023709346055e-05
"DTE..26","TWFE",0.959,-4.71605028650444e-05,5.7804980648498e-05
"DTE..26","TWFE.ever.adopted",0.959,-4.71605028650444e-05,5.7804980648498e-05
"DTE..27","group.time.ATT",0.999,0.000184889308076003,7.46639265838065e-06
"DTE..27","group.time.ATT.ever.adopted",0.95,7.44984750138183e-05,3.38084067571499e-05
"DTE..27","TWFE",0.944,-1.11185299987056e-05,8.71058830947839e-05
"DTE..27","TWFE.ever.adopted",0.944,-1.11185299987056e-05,8.71058830947839e-05
"DTE..28","group.time.ATT",0.996,1.42123668837106e-05,7.85120760955543e-06
"DTE..28","group.time.ATT.ever.adopted",0.943,-0.000146144447361827,3.50807011628336e-05
"DTE..28","TWFE",0.958,6.53454524214436e-06,6.08288121247293e-05
"DTE..28","TWFE.ever.adopted",0.958,6.53454524214436e-06,6.08288121247293e-05
"DTE..29","group.time.ATT",0.995,-0.000169934321350148,7.84877436667041e-06
"DTE..29","group.time.ATT.ever.adopted",0.953,9.89882145668935e-05,3.19222757263011e-05
"DTE..29","TWFE",0.941,2.20685736943537e-05,8.84577679091701e-05
"DTE..29","TWFE.ever.adopted",0.941,2.20685736943537e-05,8.84577679091701e-05
"DTE..3","group.time.ATT",0.999,2.30144674491853e-05,8.02032616734577e-06
"DTE..3","group.time.ATT.ever.adopted",0.963,-0.000117773928319038,2.96548276525694e-05
"DTE..3","TWFE",0.937,1.59673346105232e-05,7.5950466001336e-05
"DTE..3","TWFE.ever.adopted",0.937,1.59673346105232e-05,7.5950466001336e-05
"DTE..30","group.time.ATT",0.996,-1.48610957278924e-05,6.62156679294714e-06
"DTE..30","group.time.ATT.ever.adopted",0.953,-9.43749865451643e-05,3.2957912791782e-05
"DTE..30","TWFE",0.958,-1.85344167999627e-05,6.24726175622846e-05
"DTE..30","TWFE.ever.adopted",0.958,-1.85344167999627e-05,6.24726175622846e-05
"DTE..31","group.time.ATT",0.997,-1.07690397838346e-05,7.83972635262744e-06
"DTE..31","group.time.ATT.ever.adopted",0.963,-1.38188491603736e-05,3.24824224031277e-05
"DTE..31","TWFE",0.946,0.000103276399638106,8.88167025339556e-05
"DTE..31","TWFE.ever.adopted",0.946,0.000103276399638106,8.88167025339556e-05
"DTE..32","group.time.ATT",0.997,-1.08922173550149e-05,8.33866525118548e-06
"DTE..32","group.time.ATT.ever.adopted",0.97,0.000107395350674973,3.26460411920208e-05
"DTE..32","TWFE",0.957,8.44734783056274e-05,6.07289086743607e-05
"DTE..32","TWFE.ever.adopted",0.957,8.44734783056274e-05,6.07289086743607e-05
"DTE..33","group.time.ATT",0.997,-5.22861018733352e-05,7.67488810076677e-06
"DTE..33","group.time.ATT.ever.adopted",0.958,-3.29389257066088e-05,3.14079036650422e-05
"DTE..33","TWFE",0.945,0.000129095885027862,9.15121521662688e-05
"DTE..33","TWFE.ever.adopted",0.945,0.000129095885027862,9.15121521662688e-05
"DTE..34","group.time.ATT",0.997,-1.39360689786202e-05,8.14990330215968e-06
"DTE..34","group.time.ATT.ever.adopted",0.955,-9.24863621599017e-05,3.13806635093424e-05
"DTE..34","TWFE",0.947,-6.67543413621571e-05,6.22069699227459e-05
"DTE..34","TWFE.ever.adopted",0.947,-6.67543413621571e-05,6.22069699227459e-05
"DTE..35","group.time.ATT",0.992,0.000140695456112051,8.42444443876359e-06
"DTE..35","group.time.ATT.ever.adopted",0.961,8.56979973155339e-05,3.22462541658441e-05
"DTE..35","TWFE",0.918,0.000218604873474704,9.91970035963315e-05
"DTE..35","TWFE.ever.adopted",0.918,0.000218604873474704,9.91970035963315e-05
"DTE..36","group.time.ATT",0.942,8.81255398230462e-05,3.51716753669404e-05
"DTE..36","group.time.ATT.ever.adopted",0.839,2.91912005461512e-05,6.42057474123829e-05
"DTE..36","TWFE",0.956,-5.51380879940697e-07,4.59680878977012e-05
"DTE..36","TWFE.ever.adopted",0.956,-5.51380879940697e-07,4.59680878977012e-05
"DTE..37","group.time.ATT",0.951,-0.000104143018459419,3.44427744544223e-05
"DTE..37","group.time.ATT.ever.adopted",0.848,-0.000166454279588457,6.0800455942202e-05
"DTE..37","TWFE",0.939,0.000153588226216717,0.000101226571067337
"DTE..37","TWFE.ever.adopted",0.939,0.000153588226216717,0.000101226571067337
"DTE..38","group.time.ATT",0.942,0.000153340329131243,3.47593610736097e-05
"DTE..38","group.time.ATT.ever.adopted",0.85,0.000364214058832218,6.10434859557293e-05
"DTE..38","TWFE",0.955,0.000127809337655712,6.64977367678447e-05
"DTE..38","TWFE.ever.adopted",0.955,0.000127809337655712,6.64977367678447e-05
"DTE..39","group.time.ATT",0.932,-8.93742935769789e-06,3.47756442756164e-05
"DTE..39","group.time.ATT.ever.adopted",0.846,-0.000318660624268809,6.16182379539701e-05
"DTE..39","TWFE",0.95,-9.03318360554483e-06,9.9529154364533e-05
"DTE..39","TWFE.ever.adopted",0.95,-9.03318360554483e-06,9.9529154364533e-05
"DTE..4","group.time.ATT",0.997,4.11361891541073e-05,8.20151714841425e-06
"DTE..4","group.time.ATT.ever.adopted",0.96,1.64463130491998e-05,3.12354654878932e-05
"DTE..4","TWFE",0.952,2.7234707838205e-05,6.68602640261544e-05
"DTE..4","TWFE.ever.adopted",0.952,2.7234707838205e-05,6.68602640261544e-05
"DTE..40","group.time.ATT",0.934,0.000266042533886096,3.50111749706219e-05
"DTE..40","group.time.ATT.ever.adopted",0.86,0.000431276567857039,6.12763741829157e-05
"DTE..40","TWFE",0.965,0.000124899646536412,6.56804508940802e-05
"DTE..40","TWFE.ever.adopted",0.965,0.000124899646536412,6.56804508940802e-05
"DTE..41","group.time.ATT",0.938,-0.000407492508580281,3.78841842728917e-05
"DTE..41","group.time.ATT.ever.adopted",0.845,-0.00032208073806548,6.54923041389572e-05
"DTE..41","TWFE",0.944,-9.20558667756711e-05,0.000102480378338892
"DTE..41","TWFE.ever.adopted",0.944,-9.20558667756711e-05,0.000102480378338892
"DTE..42","group.time.ATT",0.94,0.000180706178351041,3.47559732300625e-05
"DTE..42","group.time.ATT.ever.adopted",0.861,6.12644140936411e-05,6.26146617238457e-05
"DTE..42","TWFE",0.954,0.00014693475749513,6.87227614872577e-05
"DTE..42","TWFE.ever.adopted",0.954,0.00014693475749513,6.87227614872577e-05
"DTE..43","group.time.ATT",0.93,-0.000329879839587647,3.55613280070246e-05
"DTE..43","group.time.ATT.ever.adopted",0.848,-0.000288438001322194,6.21332913041268e-05
"DTE..43","TWFE",0.947,-1.32591531842129e-05,0.000104052336727807
"DTE..43","TWFE.ever.adopted",0.947,-1.32591531842129e-05,0.000104052336727807
"DTE..44","group.time.ATT",0.935,0.00025531856086049,3.54093401274195e-05
"DTE..44","group.time.ATT.ever.adopted",0.841,0.000295701806897445,6.02828919151966e-05
"DTE..44","TWFE",0.954,0.000270985265614151,6.60597293758423e-05
"DTE..44","TWFE.ever.adopted",0.954,0.000270985265614151,6.60597293758423e-05
"DTE..45","group.time.ATT",0.947,-6.37280384489412e-05,3.62667839227176e-05
"DTE..45","group.time.ATT.ever.adopted",0.866,-7.22626510181005e-05,6.26220474524879e-05
"DTE..45","TWFE",0.932,0.000126613327205433,0.000110051198739247
"DTE..45","TWFE.ever.adopted",0.932,0.000126613327205433,0.000110051198739247
"DTE..46","group.time.ATT",0.942,0.000220232966027184,3.70221989632438e-05
"DTE..46","group.time.ATT.ever.adopted",0.833,0.000249016902867565,6.4506232361875e-05
"DTE..46","TWFE",0.939,-1.33352660241822e-05,6.97131962327596e-05
"DTE..46","TWFE.ever.adopted",0.939,-1.33352660241822e-05,6.97131962327596e-05
"DTE..47","group.time.ATT",0.945,2.98244530619486e-05,3.6161809958924e-05
"DTE..47","group.time.ATT.ever.adopted",0.866,-0.000137087823457673,6.29993795856117e-05
"DTE..47","TWFE",0.928,-6.06832276986197e-05,0.000110322292115962
"DTE..47","TWFE.ever.adopted",0.928,-6.06832276986197e-05,0.000110322292115962
"DTE..48","group.time.ATT",0.82,-0.000135943052409957,7.24541514970985e-05
"DTE..48","group.time.ATT.ever.adopted",0.324,6.22593156596104e-05,0.000205340658374388
"DTE..48","TWFE",0.973,-0.000137826086957225,5.49113543091615e-05
"DTE..48","TWFE.ever.adopted",0.973,-0.000137826086957225,5.49113543091615e-05
"DTE..49","group.time.ATT",0.822,5.55208321775113e-05,7.23162938894647e-05
"DTE..49","group.time.ATT.ever.adopted",0.337,-2.80653217413091e-05,0.000204453176055901
"DTE..49","TWFE",0.936,0.000114778529945204,0.000125918988527478
"DTE..49","TWFE.ever.adopted",0.936,0.000114778529945204,0.000125918988527478
"DTE..5","group.time.ATT",0.996,3.22041106250944e-05,8.33394874991035e-06
"DTE..5","group.time.ATT.ever.adopted",0.951,-0.000122700688339531,3.20413234019622e-05
"DTE..5","TWFE",0.937,0.000231457907192462,8.32056127728298e-05
"DTE..5","TWFE.ever.adopted",0.937,0.000231457907192462,8.32056127728298e-05
"DTE..50","group.time.ATT",0.838,3.35319148513509e-05,7.23732528824659e-05
"DTE..50","group.time.ATT.ever.adopted",0.334,0.000199538906572645,0.000210054110836157
"DTE..50","TWFE",0.936,-1.05478092854717e-05,9.18690711264172e-05
"DTE..50","TWFE.ever.adopted",0.936,-1.05478092854717e-05,9.18690711264172e-05
"DTE..51","group.time.ATT",0.831,0.000102864367058643,7.62493841955717e-05
"DTE..51","group.time.ATT.ever.adopted",0.359,0.000162785561205372,0.000221093270783422
"DTE..51","TWFE",0.951,4.498803581505e-05,0.000123474787397178
"DTE..51","TWFE.ever.adopted",0.951,4.498803581505e-05,0.000123474787397178
"DTE..52","group.time.ATT",0.813,-0.0005424825205848,6.98963811027593e-05
"DTE..52","group.time.ATT.ever.adopted",0.357,-0.00079009156415516,0.000207428445463653
"DTE..52","TWFE",0.933,-0.000167278053628877,8.74031685790527e-05
"DTE..52","TWFE.ever.adopted",0.933,-0.000167278053628877,8.74031685790527e-05
"DTE..53","group.time.ATT",0.811,-3.53820766873841e-05,7.34610228040383e-05
"DTE..53","group.time.ATT.ever.adopted",0.334,0.000218899679619848,0.000210944577421802
"DTE..53","TWFE",0.921,0.000382653619626536,0.000134895206570947
"DTE..53","TWFE.ever.adopted",0.921,0.000382653619626536,0.000134895206570947
