"parameter","method","coverage","bias","MSE"
"DTE..23","group.time.ATT.ever.adopted",0.993,4.50310231137435e-05,6.82997149525117e-06
"DTE..23","TWFE",0.954,4.53601829559728e-05,1.97754748896e-05
"DTE..23","TWFE.ever.adopted",0.954,4.53601829559728e-05,1.97754748896e-05
"DTE..24","group.time.ATT",1,-4.39427007479697e-05,5.63143442041522e-06
"DTE..24","group.time.ATT.ever.adopted",0.995,-7.90761479485501e-05,7.36196485341258e-06
"DTE..24","TWFE",0.957,6.71148517688428e-05,1.98866596881482e-05
"DTE..24","TWFE.ever.adopted",0.957,6.71148517688428e-05,1.98866596881482e-05
"DTE..25","group.time.ATT",0.997,5.12569806053748e-05,5.48739551418454e-06
"DTE..25","group.time.ATT.ever.adopted",0.997,-9.03205656652485e-06,7.35262076095451e-06
"DTE..25","TWFE",0.957,7.92278314185694e-05,2.1456388608054e-05
"DTE..25","TWFE.ever.adopted",0.957,7.92278314185694e-05,2.1456388608054e-05
"DTE..26","group.time.ATT",0.997,-0.000105556809352228,5.58701561141733e-06
"DTE..26","group.time.ATT.ever.adopted",0.991,3.38550618861365e-05,7.27846583137826e-06
"DTE..26","TWFE",0.952,0.000117057283113493,2.11326466796639e-05
"DTE..26","TWFE.ever.adopted",0.952,0.000117057283113493,2.11326466796639e-05
"DTE..27","group.time.ATT",0.997,9.56226505729666e-05,5.47178319065098e-06
"DTE..27","group.time.ATT.ever.adopted",0.998,2.82490539472278e-05,6.82911520545137e-06
"DTE..27","TWFE",0.951,9.61888573204007e-05,2.03780467231914e-05
"DTE..27","TWFE.ever.adopted",0.951,9.61888573204007e-05,2.03780467231914e-05
"DTE..28","group.time.ATT",0.993,-9.27774750150079e-05,5.73545698233716e-06
"DTE..28","group.time.ATT.ever.adopted",0.992,-3.12134766107593e-05,7.48191295681457e-06
"DTE..28","TWFE",0.953,3.39490985972442e-05,1.92722897974265e-05
"DTE..28","TWFE.ever.adopted",0.953,3.39490985972442e-05,1.92722897974265e-05
"DTE..29","group.time.ATT",0.993,8.21003041755025e-05,5.32776576555636e-06
"DTE..29","group.time.ATT.ever.adopted",0.996,6.98880477152229e-06,6.41553161996485e-06
"DTE..29","TWFE",0.947,6.08928289942768e-05,2.02510946803477e-05
"DTE..29","TWFE.ever.adopted",0.947,6.08928289942768e-05,2.02510946803477e-05
"DTE..3","group.time.ATT",0.997,4.07441140895615e-05,5.31653174994269e-06
"DTE..3","group.time.ATT.ever.adopted",0.996,-1.75336183642105e-05,1.1008916739352e-05
"DTE..3","TWFE",0.957,2.36965731058997e-05,2.23140920533124e-05
