MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region,MRSTATE,month_index
KS,4,0.07718373493975904,7.72,2656,2011,Kansas,Midwest,NA,4
KS,5,0.06344522316488381,6.34,2711,2011,Kansas,Midwest,NA,5
KS,6,0.07021202641640598,7.02,2877,2011,Kansas,Midwest,NA,6
KS,7,0.07017543859649122,7.02,2907,2011,Kansas,Midwest,NA,7
KS,8,0.06351351351351352,6.35,2960,2011,Kansas,Midwest,NA,8
KS,9,0.06522497384025114,6.52,2867,2011,Kansas,Midwest,NA,9
KS,10,0.07591344448385952,7.59,2819,2011,Kansas,Midwest,NA,10
KS,11,0.07072484166080226,7.07,2842,2011,Kansas,Midwest,NA,11
KS,12,0.07360406091370558,7.36,2758,2011,Kansas,Midwest,NA,12
LA,1,0.097727827999022715,9.77,4093,2011,Louisiana,South,NA,1
LA,2,0.09039109039109039,9.04,3861,2011,Louisiana,South,NA,2
LA,3,0.09594272076372315,9.59,4190,2011,Louisiana,South,NA,3
LA,4,0.10327388874101677,10.33,3757,2011,Louisiana,South,NA,4
LA,5,0.11155378486055777,11.16,4016,2011,Louisiana,South,NA,5
LA,6,0.11140841644368767,11.14,4111,2011,Louisiana,South,NA,6
LA,7,0.10240828269187487,10.24,4443,2011,Louisiana,South,NA,7
LA,8,0.09406565656565656,9.41,4752,2011,Louisiana,South,NA,8
LA,9,0.09831767533318768,9.83,4577,2011,Louisiana,South,NA,9
LA,10,0.09872966347225318,9.87,4487,2011,Louisiana,South,NA,10
LA,11,0.09003741814780168,9,4276,2011,Louisiana,South,NA,11
LA,12,0.10036917397323489,10.04,4334,2011,Louisiana,South,NA,12
MD,1,0.08388814913448735,8.39,3755,2011,Maryland,South,NA,1
MD,2,0.08163841807909604,8.16,3540,2011,Maryland,South,NA,2
MD,3,0.07185084129149613,7.19,4398,2011,Maryland,South,NA,3
MD,4,0.0765938274386123,7.66,4439,2011,Maryland,South,NA,4
MD,5,0.08073843416370106,8.07,4496,2011,Maryland,South,NA,5
MD,6,0.07788624787775891,7.79,4712,2011,Maryland,South,NA,6
MD,7,0.07836134453781513,7.84,4760,2011,Maryland,South,NA,7
MD,8,0.07512315270935961,7.51,4872,2011,Maryland,South,NA,8
MD,9,0.0638609715242881,6.39,4776,2011,Maryland,South,NA,9
MD,10,0.07990040742417383,7.99,4418,2011,Maryland,South,NA,10
MD,11,0.07763276327632763,7.76,4444,2011,Maryland,South,NA,11
MD,12,0.07542579075425791,7.54,4521,2011,Maryland,South,NA,12
MO,1,0.06414119672836849,6.41,4646,2011,Missouri,Midwest,NA,1
MO,2,0.06794582392776524,6.79,4430,2011,Missouri,Midwest,NA,2
MO,3,0.07129686539643516,7.13,4881,2011,Missouri,Midwest,NA,3
MO,4,0.07520067596113224,7.52,4734,2011,Missouri,Midwest,NA,4
MO,5,0.08155026241421073,8.16,4954,2011,Missouri,Midwest,NA,5
MO,6,0.06917638066118861,6.92,5233,2011,Missouri,Midwest,NA,6
MO,7,0.07492739593417232,7.49,5165,2011,Missouri,Midwest,NA,7
MO,8,0.07496891099662462,7.5,5629,2011,Missouri,Midwest,NA,8
MO,9,0.0665907797381901,6.66,5271,2011,Missouri,Midwest,NA,9
MO,10,0.07023208879919274,7.02,4955,2011,Missouri,Midwest,NA,10
MO,11,0.0762284754304914,7.62,4762,2011,Missouri,Midwest,NA,11
MO,12,0.079313824419778,7.93,4955,2011,Missouri,Midwest,NA,12
NC,1,0.08788927335640138,8.79,8670,2011,North Carolina,South,NA,1
NC,2,0.08287714831317632,8.29,7855,2011,North Carolina,South,NA,2
NC,3,0.08243891299383421,8.24,8758,2011,North Carolina,South,NA,3
NC,4,0.07928666104349921,7.93,8299,2011,North Carolina,South,NA,4
NC,5,0.08612831599859765,8.61,8557,2011,North Carolina,South,NA,5
NC,6,0.08602395892755277,8.6,8765,2011,North Carolina,South,NA,6
NC,7,0.08330560177481974,8.33,9015,2011,North Carolina,South,NA,7
NC,8,0.07519510651761231,7.52,9482,2011,North Carolina,South,NA,8
NC,9,0.07091346153846154,7.09,9152,2011,North Carolina,South,NA,9
NC,10,0.08063031976075455,8.06,8694,2011,North Carolina,South,NA,10
