MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
CA,1,0.06842011729162964,6.84,33762,2011,California,West
CA,2,0.06783573237585355,6.78,31193,2011,California,West
CA,3,0.0663967146262313,6.64,34821,2011,California,West
CA,4,0.06520561141549762,6.52,33218,2011,California,West
CA,5,0.06777597402597403,6.78,34496,2011,California,West
CA,6,0.06652323580034424,6.65,34860,2011,California,West
CA,7,0.0692040561189054,6.92,35995,2011,California,West
CA,8,0.06442443080683298,6.44,37641,2011,California,West
CA,9,0.06235787281843338,6.24,36499,2011,California,West
CA,10,0.06723649981418485,6.72,34981,2011,California,West
CA,11,0.06458052016673516,6.46,34066,2011,California,West
CA,12,0.0664349840718216,6.64,34530,2011,California,West
CO,1,0.07592634689702205,7.59,4399,2011,Colorado,West
CO,2,0.06812710640346654,6.81,4154,2011,Colorado,West
CO,3,0.06454876568191016,6.45,4942,2011,Colorado,West
CO,4,0.06766604205704768,6.77,4803,2011,Colorado,West
CO,5,0.06557377049180328,6.56,4941,2011,Colorado,West
CO,6,0.07552447552447553,7.55,5005,2011,Colorado,West
CO,7,0.06724380914032616,6.72,4967,2011,Colorado,West
CO,8,0.06623554771702919,6.62,5103,2011,Colorado,West
CO,9,0.06302955156023972,6.3,4839,2011,Colorado,West
CO,10,0.07149122807017544,7.15,4560,2011,Colorado,West
CO,11,0.06346368715083799,6.35,4475,2011,Colorado,West
CO,12,0.07673964881855626,7.67,4613,2011,Colorado,West
DE,1,0.07317073170731707,7.32,779,2011,Delaware,South
DE,2,0.07547169811320754,7.55,689,2011,Delaware,South
DE,3,0.0858974358974359,8.59,780,2011,Delaware,South
DE,4,0.07446808510638298,7.45,752,2011,Delaware,South
DE,5,0.0896637608966376,8.97,803,2011,Delaware,South
DE,6,0.07142857142857142,7.14,826,2011,Delaware,South
DE,7,0.0730816077953715,7.31,821,2011,Delaware,South
DE,8,0.07674943566591422,7.67,886,2011,Delaware,South
DE,9,0.07160493827160494,7.16,810,2011,Delaware,South
DE,10,0.05674653215636822,5.67,793,2011,Delaware,South
DE,11,0.06447368421052632,6.45,760,2011,Delaware,South
DE,12,0.08421052631578947,8.42,760,2011,Delaware,South
FL,1,0.08206664717918737,8.21,13684,2011,Florida,South
FL,2,0.08013571370870022,8.01,12379,2011,Florida,South
FL,3,0.07834305545300155,7.83,13543,2011,Florida,South
FL,4,0.08157854870474171,8.16,13202,2011,Florida,South
FL,5,0.08803467386670456,8.8,14074,2011,Florida,South
FL,6,0.08001378359751896,8,14510,2011,Florida,South
FL,7,0.08252677764872887,8.25,15498,2011,Florida,South
FL,8,0.08232684249445403,8.23,16228,2011,Florida,South
FL,9,0.07401234567901234,7.4,16200,2011,Florida,South
FL,10,0.07966907693309883,7.97,15351,2011,Florida,South
FL,11,0.07336795739925055,7.34,15211,2011,Florida,South
FL,12,0.07487812804679883,7.49,15385,2011,Florida,South
GA,1,0.08680555555555555,8.68,5472,2011,Georgia,South
GA,2,0.08361008009376832,8.36,5119,2011,Georgia,South
GA,3,0.08215839860748476,8.22,5745,2011,Georgia,South
GA,4,0.08187689969604864,8.19,5264,2011,Georgia,South
GA,5,0.08418367346938775,8.42,5488,2011,Georgia,South
GA,6,0.08006785411365563,8.01,5895,2011,Georgia,South
GA,7,0.08296658516707417,8.3,6135,2011,Georgia,South
GA,8,0.08231529959278651,8.23,6876,2011,Georgia,South
GA,9,0.0796133067955644,7.96,7034,2011,Georgia,South
GA,10,0.07834034527781808,7.83,6893,2011,Georgia,South
GA,11,0.08315288003464703,8.32,6927,2011,Georgia,South
GA,12,0.0810731991834354,8.11,6858,2011,Georgia,South
