MRSTATE,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
AK,1,0.08364544319600499,8.36,801,2016,Alaska,West
AK,2,0.06311360448807854,6.31,713,2016,Alaska,West
AK,3,0.0774818401937046,7.75,826,2016,Alaska,West
AK,4,0.06589147286821706,6.59,774,2016,Alaska,West
AK,5,0.06707317073170732,6.71,820,2016,Alaska,West
AK,6,0.06713780918727916,6.71,849,2016,Alaska,West
AK,7,0.05384615384615385,5.38,780,2016,Alaska,West
AK,8,0.06725888324873096,6.73,788,2016,Alaska,West
AK,9,0.07421383647798742,7.42,795,2016,Alaska,West
AK,10,0.08005082592121983,8.01,787,2016,Alaska,West
AK,11,0.07297297297297298,7.3,740,2016,Alaska,West
AK,12,0.06906077348066299,6.91,724,2016,Alaska,West
CA,1,0.06983372921615202,6.98,33680,2016,California,West
CA,2,0.07067455035136055,7.07,32303,2016,California,West
CA,3,0.06663042856325456,6.66,34954,2016,California,West
CA,4,0.06920163611574004,6.92,33005,2016,California,West
CA,5,0.07097158160987949,7.1,33605,2016,California,West
CA,6,0.06968498168498169,6.97,34125,2016,California,West
CA,7,0.07006532964368242,7.01,35053,2016,California,West
CA,8,0.06663720035359576,6.66,38462,2016,California,West
CA,9,0.0626172421992655,6.26,37849,2016,California,West
CA,10,0.06533065027427847,6.53,36277,2016,California,West
CA,11,0.06820246783317213,6.82,34119,2016,California,West
CA,12,0.0705844685062289,7.06,34356,2016,California,West
CO,1,0.06952789699570816,6.95,4660,2016,Colorado,West
CO,2,0.0714775062799726,7.15,4379,2016,Colorado,West
CO,3,0.06732550957381099,6.73,4857,2016,Colorado,West
CO,4,0.06947060054404687,6.95,4779,2016,Colorado,West
CO,5,0.0618413203420163,6.18,5029,2016,Colorado,West
CO,6,0.07370517928286853,7.37,5020,2016,Colorado,West
CO,7,0.06619385342789598,6.62,5076,2016,Colorado,West
CO,8,0.07172596517789553,7.17,5284,2016,Colorado,West
CO,9,0.06252450019600157,6.25,5102,2016,Colorado,West
CO,10,0.06388716034017838,6.39,4821,2016,Colorado,West
CO,11,0.06992399565689468,6.99,4605,2016,Colorado,West
CO,12,0.06961613532856213,6.96,4611,2016,Colorado,West
DE,1,0.09720372836218376,9.72,751,2016,Delaware,South
DE,2,0.0859375,8.59,768,2016,Delaware,South
DE,3,0.08833522083805209,8.83,883,2016,Delaware,South
DE,4,0.08461538461538462,8.46,780,2016,Delaware,South
DE,5,0.08052884615384616,8.05,832,2016,Delaware,South
DE,6,0.08333333333333333,8.33,864,2016,Delaware,South
DE,7,0.0851063829787234,8.51,846,2016,Delaware,South
DE,8,0.07063197026022305,7.06,807,2016,Delaware,South
DE,9,0.07862407862407862,7.86,814,2016,Delaware,South
DE,10,0.09205548549810845,9.21,793,2016,Delaware,South
DE,11,0.085219707057257,8.52,751,2016,Delaware,South
DE,12,0.07756232686980609,7.76,722,2016,Delaware,South
FL,1,0.07774959957287773,7.77,14984,2016,Florida,South
FL,2,0.07579714128642111,7.58,14552,2016,Florida,South
FL,3,0.076948459051013,7.69,15153,2016,Florida,South
FL,4,0.07845836200963524,7.85,14530,2016,Florida,South
FL,5,0.08065932581233534,8.07,14803,2016,Florida,South
FL,6,0.08266985138004246,8.27,15072,2016,Florida,South
FL,7,0.07932924862947437,7.93,15505,2016,Florida,South
FL,8,0.07620795107033639,7.62,16350,2016,Florida,South
FL,9,0.07430205807374246,7.43,16083,2016,Florida,South
FL,10,0.0783627220064931,7.84,15709,2016,Florida,South
FL,11,0.07317073170731707,7.32,15744,2016,Florida,South
FL,12,0.0753008233058898,7.53,15790,2016,Florida,South
GA,1,0.0913397303534556,9.13,8233,2016,Georgia,South
GA,2,0.0818028032866119,8.18,8276,2016,Georgia,South
GA,3,0.08670520231213873,8.67,8996,2016,Georgia,South
GA,4,0.09475047080979285,9.48,8496,2016,Georgia,South
GA,5,0.0934878587196468,9.35,9060,2016,Georgia,South
GA,6,0.08510867226167419,8.51,9294,2016,Georgia,South
GA,7,0.09293330545682627,9.29,9566,2016,Georgia,South
GA,8,0.08807810894141829,8.81,9730,2016,Georgia,South
GA,9,0.08879738148030832,8.88,9471,2016,Georgia,South
GA,10,0.09155007160956263,9.16,9077,2016,Georgia,South
GA,11,0.08902600264433672,8.9,9076,2016,Georgia,South
GA,12,0.09023605150214592,9.02,9320,2016,Georgia,South
ID,1,0.07123834886817576,7.12,1502,2016,Idaho,West
ID,2,0.06464646464646465,6.46,1485,2016,Idaho,West
ID,3,0.0663265306122449,6.63,1764,2016,Idaho,West
ID,4,0.065523576240049,6.55,1633,2016,Idaho,West
ID,5,0.06858542559706063,6.86,1633,2016,Idaho,West
ID,6,0.05571677307022635,5.57,1723,2016,Idaho,West
ID,7,0.059417706476530004,5.94,1683,2016,Idaho,West
ID,8,0.07856341189674523,7.86,1782,2016,Idaho,West
ID,9,0.06662995594713657,6.66,1816,2016,Idaho,West
ID,10,0.06602641056422569,6.6,1666,2016,Idaho,West
ID,11,0.06477197620621282,6.48,1513,2016,Idaho,West
ID,12,0.07533805537669028,7.53,1553,2016,Idaho,West
IL,1,0.07768461460753612,7.77,9899,2016,Illinois,Midwest
IL,2,0.08036633052068327,8.04,9718,2016,Illinois,Midwest
IL,3,0.07145590204706333,7.15,10454,2016,Illinois,Midwest
IL,4,0.07588985896574882,7.59,10423,2016,Illinois,Midwest
IL,5,0.07728119180633147,7.73,10740,2016,Illinois,Midwest
IL,6,0.0754019589724635,7.54,10822,2016,Illinois,Midwest
IL,7,0.07375,7.38,11200,2016,Illinois,Midwest
IL,8,0.07216227880880449,7.22,11585,2016,Illinois,Midwest
IL,9,0.06885125184094257,6.89,10864,2016,Illinois,Midwest
IL,10,0.07632263660017347,7.63,10377,2016,Illinois,Midwest
IL,11,0.07551556813586736,7.55,9892,2016,Illinois,Midwest
IL,12,0.08140118438221419,8.14,9963,2016,Illinois,Midwest
KS,1,0.07814227792112054,7.81,2713,2016,Kansas,Midwest
KS,2,0.06534422403733955,6.53,2571,2016,Kansas,Midwest
KS,3,0.07429163787145819,7.43,2894,2016,Kansas,Midwest
KS,4,0.06078799249530957,6.08,2665,2016,Kansas,Midwest
KS,5,0.06877925819229384,6.88,2777,2016,Kansas,Midwest
KS,6,0.07289217332885455,7.29,2977,2016,Kansas,Midwest
KS,7,0.06738987508218278,6.74,3042,2016,Kansas,Midwest
KS,8,0.0719327731092437,7.19,2975,2016,Kansas,Midwest
KS,9,0.07427413909520594,7.43,2962,2016,Kansas,Midwest
KS,10,0.08406923348640057,8.41,2831,2016,Kansas,Midwest
KS,11,0.06779053084648494,6.78,2788,2016,Kansas,Midwest
KS,12,0.07889048991354466,7.89,2776,2016,Kansas,Midwest
LA,1,0.10847616811458088,10.85,4259,2016,Louisiana,South
LA,2,0.09384384384384384,9.38,3996,2016,Louisiana,South
LA,3,0.08918982021947233,8.92,4283,2016,Louisiana,South
LA,4,0.10753233578493533,10.75,3943,2016,Louisiana,South
LA,5,0.10220535926013753,10.22,4217,2016,Louisiana,South
LA,6,0.10406035056578655,10.41,4507,2016,Louisiana,South
LA,7,0.10199789695057834,10.2,4755,2016,Louisiana,South
LA,8,0.09725685785536159,9.73,4812,2016,Louisiana,South
LA,9,0.10023114099600756,10.02,4759,2016,Louisiana,South
LA,10,0.1084469863616366,10.84,4546,2016,Louisiana,South
LA,11,0.09817152808010449,9.82,4594,2016,Louisiana,South
LA,12,0.09789426523297491,9.79,4464,2016,Louisiana,South
MA,1,0.06383428450644683,6.38,4731,2016,Massachusetts,Northeast
MA,2,0.06238024270811156,6.24,4697,2016,Massachusetts,Northeast
MA,3,0.06984371985336678,6.98,5183,2016,Massachusetts,Northeast
MA,4,0.06633366633366633,6.63,5005,2016,Massachusetts,Northeast
MA,5,0.06762295081967214,6.76,5368,2016,Massachusetts,Northeast
MA,6,0.058365019011406845,5.84,5260,2016,Massachusetts,Northeast
MA,7,0.06069160197600565,6.07,5668,2016,Massachusetts,Northeast
MA,8,0.06903914590747331,6.9,5620,2016,Massachusetts,Northeast
MA,9,0.054114158636026685,5.41,5396,2016,Massachusetts,Northeast
MA,10,0.06423942051086542,6.42,5246,2016,Massachusetts,Northeast
MA,11,0.0632379427656594,6.32,4997,2016,Massachusetts,Northeast
MA,12,0.07005291005291005,7.01,4725,2016,Massachusetts,Northeast
MD,1,0.07834409080792344,7.83,4493,2016,Maryland,South
MD,2,0.07106363214119833,7.11,4306,2016,Maryland,South
MD,3,0.0775899436497616,7.76,4614,2016,Maryland,South
MD,4,0.07458314556106355,7.46,4438,2016,Maryland,South
MD,5,0.07604321118407117,7.6,4721,2016,Maryland,South
MD,6,0.07585917854149203,7.59,4772,2016,Maryland,South
MD,7,0.07504045307443366,7.5,4944,2016,Maryland,South
MD,8,0.07350901525658807,7.35,5047,2016,Maryland,South
MD,9,0.06856561546286877,6.86,4915,2016,Maryland,South
MD,10,0.08103521425540942,8.1,4714,2016,Maryland,South
MD,11,0.07498897220996913,7.5,4534,2016,Maryland,South
MD,12,0.084042785418031,8.4,4581,2016,Maryland,South
MN,1,0.06701030927835051,6.7,4656,2016,Minnesota,Midwest
MN,2,0.06714727085478887,6.71,4855,2016,Minnesota,Midwest
MN,3,0.06669345118521494,6.67,4978,2016,Minnesota,Midwest
MN,4,0.06498564985649856,6.5,4878,2016,Minnesota,Midwest
MN,5,0.06437183975106962,6.44,5142,2016,Minnesota,Midwest
MN,6,0.059726962457337884,5.97,5274,2016,Minnesota,Midwest
MN,7,0.06491063029162747,6.49,5315,2016,Minnesota,Midwest
MN,8,0.0654054054054054,6.54,5550,2016,Minnesota,Midwest
MN,9,0.057455540355677154,5.75,5117,2016,Minnesota,Midwest
MN,10,0.06233230134158927,6.23,4845,2016,Minnesota,Midwest
MN,11,0.06439551308683007,6.44,4814,2016,Minnesota,Midwest
MN,12,0.06403436988543372,6.4,4888,2016,Minnesota,Midwest
MO,1,0.07843538808109769,7.84,4883,2016,Missouri,Midwest
MO,2,0.06945589447650453,6.95,4852,2016,Missouri,Midwest
MO,3,0.073515186689882,7.35,5169,2016,Missouri,Midwest
MO,4,0.07831839521980367,7.83,4686,2016,Missouri,Midwest
MO,5,0.07967145790554415,7.97,4870,2016,Missouri,Midwest
MO,6,0.07902793723689246,7.9,5226,2016,Missouri,Midwest
MO,7,0.07768072848912841,7.77,5381,2016,Missouri,Midwest
MO,8,0.07851534618129907,7.85,5604,2016,Missouri,Midwest
MO,9,0.06973708745105352,6.97,5363,2016,Missouri,Midwest
MO,10,0.08064200430612645,8.06,5109,2016,Missouri,Midwest
MO,11,0.07226202661207778,7.23,4885,2016,Missouri,Midwest
MO,12,0.07657028913260219,7.66,5015,2016,Missouri,Midwest
MS,1,0.10635099586621571,10.64,2661,2016,Mississippi,South
MS,2,0.11509358821186778,11.51,2511,2016,Mississippi,South
MS,3,0.1087194454578621,10.87,2741,2016,Mississippi,South
MS,4,0.11496196111580727,11.5,2366,2016,Mississippi,South
MS,5,0.11624326404926867,11.62,2598,2016,Mississippi,South
MS,6,0.12339802270230685,12.34,2731,2016,Mississippi,South
MS,7,0.11142454160789844,11.14,2836,2016,Mississippi,South
MS,8,0.10407689758037786,10.41,3017,2016,Mississippi,South
MS,9,0.10473556861389562,10.47,2893,2016,Mississippi,South
MS,10,0.1198044009779951,11.98,2863,2016,Mississippi,South
MS,11,0.10922787193973635,10.92,2655,2016,Mississippi,South
MS,12,0.11493018259935553,11.49,2793,2016,Mississippi,South
NC,1,0.08581960603617095,8.58,8681,2016,North Carolina,South
NC,2,0.08120481927710843,8.12,8300,2016,North Carolina,South
NC,3,0.07701162656843559,7.7,8687,2016,North Carolina,South
NC,4,0.07858002406738869,7.86,8310,2016,North Carolina,South
NC,5,0.08640591729239046,8.64,8923,2016,North Carolina,South
NC,6,0.08392070484581497,8.39,9080,2016,North Carolina,South
NC,7,0.08668301524682802,8.67,9379,2016,North Carolina,South
NC,8,0.07723076923076923,7.72,9750,2016,North Carolina,South
NC,9,0.07814958564984789,7.81,9533,2016,North Carolina,South
NC,10,0.08191687685053185,8.19,9119,2016,North Carolina,South
NC,11,0.08216546112115733,8.22,8848,2016,North Carolina,South
NC,12,0.08299776286353468,8.3,8940,2016,North Carolina,South
ND,1,0.070242656449553,7.02,783,2016,North Dakota,Midwest
ND,2,0.06174496644295302,6.17,745,2016,North Dakota,Midwest
ND,3,0.0620253164556962,6.2,790,2016,North Dakota,Midwest
ND,4,0.06615776081424936,6.62,786,2016,North Dakota,Midwest
ND,5,0.06166868198307134,6.17,827,2016,North Dakota,Midwest
ND,6,0.0611764705882353,6.12,850,2016,North Dakota,Midwest
ND,7,0.06758448060075094,6.76,799,2016,North Dakota,Midwest
ND,8,0.07270693512304251,7.27,894,2016,North Dakota,Midwest
ND,9,0.055304740406320545,5.53,886,2016,North Dakota,Midwest
ND,10,0.04860267314702309,4.86,823,2016,North Dakota,Midwest
ND,11,0.0735873850197109,7.36,761,2016,North Dakota,Midwest
ND,12,0.07421875,7.42,768,2016,North Dakota,Midwest
NE,1,0.07492957746478873,7.49,1775,2016,Nebraska,Midwest
NE,2,0.0779816513761468,7.8,1744,2016,Nebraska,Midwest
NE,3,0.07146503318019398,7.15,1959,2016,Nebraska,Midwest
NE,4,0.07050952135872363,7.05,1943,2016,Nebraska,Midwest
NE,5,0.07176045431078988,7.18,1937,2016,Nebraska,Midwest
NE,6,0.08109531332280147,8.11,1899,2016,Nebraska,Midwest
NE,7,0.07261724659606657,7.26,1983,2016,Nebraska,Midwest
NE,8,0.07546274323682961,7.55,2107,2016,Nebraska,Midwest
NE,9,0.07394876752054133,7.39,2069,2016,Nebraska,Midwest
NE,10,0.08195072900955254,8.2,1989,2016,Nebraska,Midwest
NE,11,0.08218451749734888,8.22,1886,2016,Nebraska,Midwest
NE,12,0.07654723127035831,7.65,1842,2016,Nebraska,Midwest
NM,1,0.06422569027611044,6.42,1666,2016,New Mexico,West
NM,2,0.07487623762376237,7.49,1616,2016,New Mexico,West
NM,3,0.07542579075425791,7.54,1644,2016,New Mexico,West
NM,4,0.08012618296529968,8.01,1585,2016,New Mexico,West
NM,5,0.07350216182828907,7.35,1619,2016,New Mexico,West
NM,6,0.08372365339578454,8.37,1708,2016,New Mexico,West
NM,7,0.06944444444444445,6.94,1728,2016,New Mexico,West
NM,8,0.07510964912280702,7.51,1824,2016,New Mexico,West
NM,9,0.0632118451025057,6.32,1756,2016,New Mexico,West
NM,10,0.07109283196239718,7.11,1702,2016,New Mexico,West
NM,11,0.07609384908053266,7.61,1577,2016,New Mexico,West
NM,12,0.08793969849246232,8.79,1592,2016,New Mexico,West
NV,1,0.08961303462321792,8.96,2455,2016,Nevada,West
NV,2,0.07653910149750416,7.65,2404,2016,Nevada,West
NV,3,0.08430717863105175,8.43,2396,2016,Nevada,West
NV,4,0.08993839835728953,8.99,2435,2016,Nevada,West
NV,5,0.0848605577689243,8.49,2510,2016,Nevada,West
NV,6,0.0793965859468043,7.94,2519,2016,Nevada,West
NV,7,0.08766485647788984,8.77,2578,2016,Nevada,West
NV,8,0.07318923018581722,7.32,2637,2016,Nevada,West
NV,9,0.07735849056603773,7.74,2650,2016,Nevada,West
NV,10,0.08184039087947882,8.18,2456,2016,Nevada,West
NV,11,0.082687338501292,8.27,2322,2016,Nevada,West
NV,12,0.08888888888888889,8.89,2475,2016,Nevada,West
NY,1,0.06371586650008924,6.37,16809,2016,New York,Northeast
NY,2,0.069164265129683,6.92,15962,2016,New York,Northeast
NY,3,0.06928104575163399,6.93,16830,2016,New York,Northeast
NY,4,0.06915148609779483,6.92,16688,2016,New York,Northeast
NY,5,0.06769759450171821,6.77,17460,2016,New York,Northeast
NY,6,0.06965890758239225,6.97,17356,2016,New York,Northeast
NY,7,0.065798947659928,6.58,18055,2016,New York,Northeast
NY,8,0.06581274452007074,6.58,18659,2016,New York,Northeast
NY,9,0.061902082160945414,6.19,17770,2016,New York,Northeast
NY,10,0.06580473098330242,6.58,17248,2016,New York,Northeast
NY,11,0.06829327359690017,6.83,16517,2016,New York,Northeast
NY,12,0.07064382752510337,7.06,16930,2016,New York,Northeast
OH,1,0.08413615928066795,8.41,9342,2016,Ohio,Midwest
OH,2,0.08282241583306443,8.28,9297,2016,Ohio,Midwest
OH,3,0.07988616729342413,7.99,9839,2016,Ohio,Midwest
OH,4,0.08541147132169576,8.54,9624,2016,Ohio,Midwest
OH,5,0.08506653523903401,8.51,10145,2016,Ohio,Midwest
OH,6,0.0842024686632858,8.42,10451,2016,Ohio,Midwest
