MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
AK,1,0.07279693486590039,7.28,783,2014,Alaska,West
AK,2,0.044715447154471545,4.47,738,2014,Alaska,West
AK,3,0.07783641160949868,7.78,758,2014,Alaska,West
AK,4,0.062261753494282084,6.23,787,2014,Alaska,West
AK,5,0.057285180572851806,5.73,803,2014,Alaska,West
AK,6,0.061518324607329845,6.15,764,2014,Alaska,West
AK,7,0.05938242280285035,5.94,842,2014,Alaska,West
AK,8,0.07142857142857142,7.14,770,2014,Alaska,West
AK,9,0.07259073842302878,7.26,799,2014,Alaska,West
AK,10,0.07026348808030113,7.03,797,2014,Alaska,West
AK,11,0.08277703604806408,8.28,749,2014,Alaska,West
AK,12,0.06827309236947791,6.83,747,2014,Alaska,West
CA,1,0.06576535288725939,6.58,34912,2014,California,West
CA,2,0.06440603669609869,6.44,31938,2014,California,West
CA,3,0.06567984653706302,6.57,34927,2014,California,West
CA,4,0.06573971726103904,6.57,34378,2014,California,West
CA,5,0.06488411563395564,6.49,35941,2014,California,West
CA,6,0.06745323741007195,6.75,34750,2014,California,West
CA,7,0.06605061430221569,6.61,38092,2014,California,West
CA,8,0.06464636008384876,6.46,38641,2014,California,West
CA,9,0.061608935097019916,6.16,38858,2014,California,West
CA,10,0.0682550246239851,6.83,37565,2014,California,West
CA,11,0.06372825841427604,6.37,35416,2014,California,West
CA,12,0.06623337280713833,6.62,36311,2014,California,West
CO,1,0.07123229761149863,7.12,4731,2014,Colorado,West
CO,2,0.06248590119557861,6.25,4433,2014,Colorado,West
CO,3,0.068355448331322885,6.84,4974,2014,Colorado,West
CO,4,0.06303030303030303,6.3,4950,2014,Colorado,West
CO,5,0.06313081337819117,6.31,5053,2014,Colorado,West
CO,6,0.06752873563218391,6.75,4872,2014,Colorado,West
CO,7,0.056374836662310995,5.64,5357,2014,Colorado,West
CO,8,0.06858658582796513,6.86,5278,2014,Colorado,West
