MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
AK,1,0.07131782945736434,7.13,645,2013,Alaska,West
AK,2,0.05892857142857143,5.89,560,2013,Alaska,West
AK,3,0.09026798307475317,9.03,709,2013,Alaska,West
AK,4,0.0704,7.04,625,2013,Alaska,West
AK,5,0.075,7.5,680,2013,Alaska,West
AK,6,0.09243697478991597,9.24,714,2013,Alaska,West
AK,7,0.05761316872427984,5.76,729,2013,Alaska,West
AK,8,0.05979643765903308,5.98,786,2013,Alaska,West
AK,9,0.049531459170013385,4.95,747,2013,Alaska,West
AK,10,0.07932379713914174,7.93,769,2013,Alaska,West
AK,11,0.05352112676056338,5.35,710,2013,Alaska,West
AK,12,0.07112375533428165,7.11,703,2013,Alaska,West
CA,1,0.06723107569721115,6.72,34136,2013,California,West
CA,2,0.0654500098470426,6.55,30466,2013,California,West
CA,3,0.066138660677345,6.61,33838,2013,California,West
CA,4,0.06562461614052328,6.56,32564,2013,California,West
CA,5,0.06500426884917715,6.5,33967,2013,California,West
CA,6,0.06913647838914742,6.91,32877,2013,California,West
CA,7,0.06640022050716649,6.64,36280,2013,California,West
CA,8,0.06892784685012746,6.89,38446,2013,California,West
CA,9,0.06380414110840275,6.38,37333,2013,California,West
CA,10,0.06452395064389245,6.45,37118,2013,California,West
CA,11,0.06614797246485798,6.61,34574,2013,California,West
CA,12,0.06786703601108034,6.79,35378,2013,California,West
CO,1,0.07247355390501913,7.25,4443,2013,Colorado,West
CO,2,0.06707317073170732,6.71,4264,2013,Colorado,West
CO,3,0.0625,6.25,4720,2013,Colorado,West
CO,4,0.06602325071287563,6.6,4559,2013,Colorado,West
CO,5,0.06696159260004021,6.7,4973,2013,Colorado,West
CO,6,0.06566796634516725,6.57,4873,2013,Colorado,West
CO,7,0.06168831168831169,6.17,5236,2013,Colorado,West
CO,8,0.060820090249166174,6.08,5097,2013,Colorado,West
CO,9,0.06030549494147987,6.03,5041,2013,Colorado,West
CO,10,0.06126162555600485,6.13,4946,2013,Colorado,West
CO,11,0.06548279689234185,6.55,4505,2013,Colorado,West
CO,12,0.0688360450563204,6.88,4794,2013,Colorado,West
DE,1,0.07198952879581152,7.2,764,2013,Delaware,South
DE,2,0.06676557863501484,6.68,674,2013,Delaware,South
DE,3,0.08068783068783068,8.07,756,2013,Delaware,South
DE,4,0.07449856733524356,7.45,698,2013,Delaware,South
DE,5,0.06551297898640297,6.55,809,2013,Delaware,South
DE,6,0.05897771952817824,5.9,763,2013,Delaware,South
DE,7,0.0665083135391924,6.65,842,2013,Delaware,South
DE,8,0.08149010477299184,8.15,859,2013,Delaware,South
DE,9,0.07969151670951156,7.97,778,2013,Delaware,South
DE,10,0.08610086100861009,8.61,813,2013,Delaware,South
DE,11,0.06786703601108034,6.79,722,2013,Delaware,South
DE,12,0.08031088082901554,8.03,772,2013,Delaware,South
FL,1,0.07532177567638561,7.53,15228,2013,Florida,South
FL,2,0.07884874831359616,7.88,13342,2013,Florida,South
FL,3,0.07446956039384274,7.45,14422,2013,Florida,South
FL,4,0.07923671703199263,7.92,14097,2013,Florida,South
FL,5,0.07721423164269493,7.72,14531,2013,Florida,South
FL,6,0.07888349514563107,7.89,14008,2013,Florida,South
FL,7,0.08467323651452283,8.47,15424,2013,Florida,South
FL,8,0.07796672601141875,7.8,16289,2013,Florida,South
FL,9,0.07074594317234302,7.07,15591,2013,Florida,South
FL,10,0.07887448067480801,7.89,15886,2013,Florida,South
FL,11,0.08241358799814949,8.24,15131,2013,Florida,South
FL,12,0.07157689019176744,7.16,16374,2013,Florida,South
GA,1,0.08084795321637427,8.08,6840,2013,Georgia,South
GA,2,0.07797940166748406,7.8,6117,2013,Georgia,South
GA,3,0.08003570365962512,8,6722,2013,Georgia,South
GA,4,0.08131487889273356,8.13,6358,2013,Georgia,South
GA,5,0.08266547937073315,8.27,6738,2013,Georgia,South
GA,6,0.08613251155624037,8.61,6490,2013,Georgia,South
GA,7,0.07878359264497878,7.88,7070,2013,Georgia,South
GA,8,0.0853726362625139,8.54,7192,2013,Georgia,South
GA,9,0.07312252964426877,7.31,6578,2013,Georgia,South
GA,10,0.08122270742358079,8.12,6870,2013,Georgia,South
GA,11,0.0860198144362321,8.6,6359,2013,Georgia,South
GA,12,0.07559523809523809,7.56,6720,2013,Georgia,South
ID,1,0.07662588538312942,7.66,1553,2013,Idaho,West
ID,2,0.05862068965517241,5.86,1450,2013,Idaho,West
ID,3,0.06705882352941177,6.71,1700,2013,Idaho,West
ID,4,0.056579783852511126,5.66,1573,2013,Idaho,West
ID,5,0.06583427922814983,6.58,1762,2013,Idaho,West
ID,6,0.07202380952380952,7.2,1680,2013,Idaho,West
ID,7,0.07162383816293057,7.16,1829,2013,Idaho,West
ID,8,0.06736965436438196,6.74,1707,2013,Idaho,West
ID,9,0.05969230769230769,5.97,1625,2013,Idaho,West
ID,10,0.07531380753138076,7.53,1673,2013,Idaho,West
ID,11,0.06658047834518423,6.66,1547,2013,Idaho,West
ID,12,0.0674967234600262,6.75,1526,2013,Idaho,West
