MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region
AK,1,0.07905138339920949,7.91,759,2015,Alaska,West
AK,2,0.08088235294117647,8.09,680,2015,Alaska,West
AK,3,0.07019704433497537,7.02,812,2015,Alaska,West
AK,4,0.07060333761232349,7.06,779,2015,Alaska,West
AK,5,0.062266500622665005,6.23,803,2015,Alaska,West
AK,6,0.07392996108949416,7.39,771,2015,Alaska,West
AK,7,0.055350553505535055,5.54,813,2015,Alaska,West
AK,8,0.08163265306122448,8.16,833,2015,Alaska,West
AK,9,0.07263922518159806,7.26,826,2015,Alaska,West
AK,10,0.07065217391304347,7.07,736,2015,Alaska,West
AK,11,0.07806191117092867,7.81,743,2015,Alaska,West
AK,12,0.06459948320413436,6.46,774,2015,Alaska,West
CA,1,0.06762248168498168,6.76,34944,2015,California,West
CA,2,0.06558661318626222,6.56,31912,2015,California,West
CA,3,0.06560283687943262,6.56,34968,2015,California,West
CA,4,0.06649692975887375,6.65,33385,2015,California,West
CA,5,0.0644209064073624,6.44,34554,2015,California,West
CA,6,0.06757905225214665,6.76,34123,2015,California,West
CA,7,0.06844230091852493,6.84,36907,2015,California,West
CA,8,0.06444219391290443,6.44,37522,2015,California,West
CA,9,0.06312159127366057,6.31,37404,2015,California,West
CA,10,0.06828126306401716,6.83,35881,2015,California,West
CA,11,0.06907595122667842,6.91,34035,2015,California,West
CA,12,0.07207513975199342,7.21,35241,2015,California,West
CO,1,0.07482993197278912,7.48,4704,2015,Colorado,West
CO,2,0.07053654024051804,7.05,4324,2015,Colorado,West
CO,3,0.06510520047637952,6.51,5038,2015,Colorado,West
CO,4,0.06652104845115171,6.65,5036,2015,Colorado,West
CO,5,0.0675564681724846,6.76,4870,2015,Colorado,West
CO,6,0.07445972495088408,7.45,5090,2015,Colorado,West
CO,7,0.06724924012158055,6.72,5264,2015,Colorado,West
CO,8,0.06647398843930635,6.65,5190,2015,Colorado,West
CO,9,0.062450119712689545,6.25,5012,2015,Colorado,West
CO,10,0.06204819277108434,6.2,4980,2015,Colorado,West
CO,11,0.06653620352250489,6.65,4599,2015,Colorado,West
CO,12,0.06658595641646489,6.66,4956,2015,Colorado,West
DE,1,0.07421383647798742,7.42,795,2015,Delaware,South
DE,2,0.07869742198100407,7.87,737,2015,Delaware,South
DE,3,0.075,7.5,800,2015,Delaware,South
