"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.976,4.25643778983614e-05,4.1595103462775e-06,1
"CTE","group.time.ATT.ever.adopted",0.858,0.000134557753891987,2.03792773576831e-05,0.974
"CTE","staggered.SA",0.941,4.94646440253022e-05,5.21614036309458e-06,1
"CTE","TWFE",0.957,-4.35879620068793e-06,2.53608513704251e-07,1
"CTE","TWFE.ever.adopted",0.581,1.46755957761779e-05,1.46720036640629e-06,1
"DTE..1","group.time.ATT",0.998,-9.8810552775617e-05,7.58888462220007e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",0.96,-8.05923214455355e-05,3.14410011890219e-05,0.023
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.942,0.000169092576775289,4.55569405138494e-05,0.025
"DTE..1","TWFE.ever.adopted",0.958,0.00034539610284452,7.16670627636895e-05,0.023
"DTE..10","group.time.ATT",0.996,1.02844217640186e-05,8.01049330307523e-06,0.002
"DTE..10","group.time.ATT.ever.adopted",0.947,4.41599990032494e-05,3.42269967328356e-05,0.029
"DTE..10","stacked.regression",0.946,9.12457324464049e-05,7.92974869303998e-06,0.017
"DTE..10","TWFE",0.944,0.000265362852446975,4.51342981025787e-05,0.025
"DTE..10","TWFE.ever.adopted",0.962,0.000464762989176976,6.12876974154758e-05,0.014
"DTE..11","group.time.ATT",0.994,5.90611551618453e-05,7.79822192438253e-06,0.002
"DTE..11","group.time.ATT.ever.adopted",0.953,3.71346199294597e-05,3.56838262554099e-05,0.023
"DTE..11","stacked.regression",0.953,8.09613106823862e-05,7.39092359776683e-06,0.02
"DTE..11","TWFE",0.941,0.000236453565033479,4.62088356778018e-05,0.025
"DTE..11","TWFE.ever.adopted",0.959,0.00041470149847147,7.71024977182186e-05,0.019
"DTE..12","group.time.ATT",0.998,1.33727690028058e-05,7.99710066324337e-06,0.002
"DTE..12","group.time.ATT.ever.adopted",0.959,0.000269203224073421,3.39620061130249e-05,0.022
"DTE..12","stacked.regression",0.952,2.19001555205408e-05,8.01910680052473e-06,0.025
"DTE..12","TWFE",0.95,0.000180319995532842,4.50816223564158e-05,0.024
"DTE..12","TWFE.ever.adopted",0.952,0.000302248308229219,6.14966007305774e-05,0.018
"DTE..13","group.time.ATT",0.994,1.00382200027761e-05,8.27229499548244e-06,0.005
"DTE..13","group.time.ATT.ever.adopted",0.96,-0.000194787638615131,3.21818810146425e-05,0.019
"DTE..13","stacked.regression",0.973,8.52738651773498e-06,7.0953284500122e-06,0.012
"DTE..13","TWFE",0.951,0.000128168378349786,4.54562783863334e-05,0.02
"DTE..13","TWFE.ever.adopted",0.963,0.000127528861499506,7.25766435624464e-05,0.02
"DTE..14","group.time.ATT",0.996,-6.33994244485538e-05,7.8637889314399e-06,0.003
"DTE..14","group.time.ATT.ever.adopted",0.948,5.08103560936825e-05,3.29426083384413e-05,0.023
"DTE..14","stacked.regression",0.944,-1.51083348504104e-06,8.16379411539499e-06,0.024
"DTE..14","TWFE",0.947,0.00016789944408603,4.65082704961321e-05,0.023
"DTE..14","TWFE.ever.adopted",0.953,0.000328415321593551,6.12919656778515e-05,0.018
"DTE..15","group.time.ATT",0.997,2.91339853800879e-05,7.96985569650522e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.957,3.63178196103884e-05,3.29762093866188e-05,0.018
"DTE..15","stacked.regression",0.944,6.1888590963513e-05,7.83631361103464e-06,0.028
"DTE..15","TWFE",0.957,0.000206133337683668,4.64498710756585e-05,0.015
"DTE..15","TWFE.ever.adopted",0.946,0.00020674426898206,7.84531681808157e-05,0.026
"DTE..16","group.time.ATT",0.993,-1.06766162381428e-05,8.05829307312202e-06,0.003
"DTE..16","group.time.ATT.ever.adopted",0.948,0.000109478569092238,3.39677781000056e-05,0.025
"DTE..16","stacked.regression",0.942,3.27546055834248e-05,8.14576616015875e-06,0.027
"DTE..16","TWFE",0.952,0.000198383167337133,4.63010411074255e-05,0.022
"DTE..16","TWFE.ever.adopted",0.957,0.000312195757618616,6.20550277568022e-05,0.018
"DTE..17","group.time.ATT",0.995,2.74465797975596e-05,7.61026479889885e-06,0.003
"DTE..17","group.time.ATT.ever.adopted",0.957,-1.54604118618138e-05,3.06773744549496e-05,0.019
"DTE..17","stacked.regression",0.957,4.34312218215677e-05,7.82232026681403e-06,0.017
"DTE..17","TWFE",0.948,0.000184010798009973,4.63752418535811e-05,0.024
"DTE..17","TWFE.ever.adopted",0.952,0.000154613420949523,7.93429607774706e-05,0.023
"DTE..18","group.time.ATT",0.997,1.40108587548284e-05,7.47868589131748e-06,0.002
