"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.98,0.0002262255107311,4.2409188408932e-06,1
"CTE","group.time.ATT.ever.adopted",0.855,0.000188939010709475,1.92201375567061e-05,0.978
"CTE","staggered.SA",0.954,0.000217017509229632,5.72709336868505e-06,1
"CTE","TWFE",0.965,1.19877402880617e-05,1.70881658273966e-07,1
"CTE","TWFE.ever.adopted",0.582,-5.29648956477603e-05,1.09940206900301e-06,1
"DTE..1","group.time.ATT",0.998,-0.000150849215784111,8.35944629174032e-06,0.002
"DTE..1","group.time.ATT.ever.adopted",0.957,-0.000199418500447584,3.14993299674291e-05,0.025
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.967,-0.000150715121582036,4.18813650601682e-05,0.02
"DTE..1","TWFE.ever.adopted",0.976,-0.000292343954201637,7.57133601684364e-05,0.014
"DTE..10","group.time.ATT",0.999,-8.35152578940921e-05,8.57585831549893e-06,0
"DTE..10","group.time.ATT.ever.adopted",0.951,0.000104659096376057,2.80060195909438e-05,0.021
"DTE..10","stacked.regression",0.967,0.000204079827685505,7.66003740734037e-06,0.011
"DTE..10","TWFE",0.97,8.30977512111225e-05,4.2374499190631e-05,0.017
"DTE..10","TWFE.ever.adopted",0.967,8.78665507680883e-05,5.57043939228895e-05,0.015
"DTE..11","group.time.ATT",0.997,8.27640977271066e-05,9.04585795639877e-06,0.001
"DTE..11","group.time.ATT.ever.adopted",0.956,0.000217654520323445,2.93202061775822e-05,0.019
"DTE..11","stacked.regression",0.944,0.000287595085579597,8.93531497295346e-06,0.023
"DTE..11","TWFE",0.971,0.000128259866623046,4.23443732029654e-05,0.014
"DTE..11","TWFE.ever.adopted",0.973,-4.20992856928829e-05,8.07457550310531e-05,0.011
"DTE..12","group.time.ATT",0.996,-3.937403965504e-05,9.1416689648292e-06,0.003
"DTE..12","group.time.ATT.ever.adopted",0.961,-0.000133331921690107,2.98479325893636e-05,0.018
"DTE..12","stacked.regression",0.954,0.000204830987852491,8.52398221468062e-06,0.023
"DTE..12","TWFE",0.969,4.26487509744992e-05,4.38866315379909e-05,0.019
"DTE..12","TWFE.ever.adopted",0.967,-8.30336400637134e-05,5.64986056751875e-05,0.015
"DTE..13","group.time.ATT",0.999,9.875916080161e-06,8.55567847437602e-06,0.001
"DTE..13","group.time.ATT.ever.adopted",0.957,1.72149331985169e-05,2.86556787570889e-05,0.024
"DTE..13","stacked.regression",0.957,0.000244205027507531,8.5290653383054e-06,0.014
"DTE..13","TWFE",0.974,8.21868833409546e-05,4.20226965102893e-05,0.015
"DTE..13","TWFE.ever.adopted",0.972,-0.000110018809339273,8.21251841631519e-05,0.014
"DTE..14","group.time.ATT",0.998,-4.2560510934524e-05,9.05563849208591e-06,0
"DTE..14","group.time.ATT.ever.adopted",0.948,-0.000186025415154452,2.85212483366804e-05,0.029
"DTE..14","stacked.regression",0.945,0.00023432911142737,8.93454248817038e-06,0.025
"DTE..14","TWFE",0.969,6.53691003219211e-05,4.26643397721067e-05,0.018
"DTE..14","TWFE.ever.adopted",0.973,-8.08949944739665e-05,5.42291475017629e-05,0.014
"DTE..15","group.time.ATT",0.999,0.000166771698516097,9.09024168862103e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.968,0.000127529671638611,2.93034931467888e-05,0.011
"DTE..15","stacked.regression",0.955,0.000276889622361894,8.7363494689016e-06,0.016
"DTE..15","TWFE",0.974,0.000141315232651417,4.20914593123074e-05,0.013
"DTE..15","TWFE.ever.adopted",0.977,1.51115574206982e-06,8.11931249297241e-05,0.014
"DTE..16","group.time.ATT",0.999,-2.1405880780564e-05,9.26247550297488e-06,0
"DTE..16","group.time.ATT.ever.adopted",0.972,0.000168505951151148,2.94444762447117e-05,0.012
"DTE..16","stacked.regression",0.956,0.000110117923845797,8.75068695396598e-06,0.018
"DTE..16","TWFE",0.973,3.99584036978418e-06,4.34559628803206e-05,0.014
"DTE..16","TWFE.ever.adopted",0.963,0.000121789549343526,5.67383352248068e-05,0.019
"DTE..17","group.time.ATT",0.997,-5.24866006397265e-05,9.18591155455378e-06,0.001
"DTE..17","group.time.ATT.ever.adopted",0.97,4.82442610025682e-05,2.98281727900812e-05,0.017
"DTE..17","stacked.regression",0.948,0.000131523804626361,8.72026262289022e-06,0.021
"DTE..17","TWFE",0.979,-2.47900691960668e-05,4.12536272678098e-05,0.011
"DTE..17","TWFE.ever.adopted",0.976,-0.000224464518093018,8.46842823268895e-05,0.015
"DTE..18","group.time.ATT",0.996,-8.81961490051899e-05,9.51304774605797e-06,0.003
"DTE..18","group.time.ATT.ever.adopted",0.953,-0.000358387757630579,2.92600618910535e-05,0.024
"DTE..18","stacked.regression",0.961,0.000184010405266087,8.83639936200557e-06,0.016
"DTE..18","TWFE",0.974,1.14436701031033e-05,4.26321604778138e-05,0.01
"DTE..18","TWFE.ever.adopted",0.974,-0.000132746368380393,5.17435291811617e-05,0.011
"DTE..19","group.time.ATT",0.997,4.4465981514984e-05,9.25420323942918e-06,0.001
"DTE..19","group.time.ATT.ever.adopted",0.958,0.000142727875979878,2.88699687915747e-05,0.02
"DTE..19","stacked.regression",0.952,0.000272206554271277,9.20162499772112e-06,0.015
"DTE..19","TWFE",0.97,0.000155616325756498,4.14141880385877e-05,0.016
"DTE..19","TWFE.ever.adopted",0.98,8.50764508908668e-05,8.02424933025963e-05,0.012
"DTE..2","group.time.ATT",0.999,-4.3850990988559e-05,8.96916177329167e-06,0.001
"DTE..2","group.time.ATT.ever.adopted",0.961,-9.3067306026211e-05,3.03023921132238e-05,0.022
"DTE..2","stacked.regression",0.957,0.000150849215784111,8.35944629174032e-06,0.023
"DTE..2","TWFE",0.971,3.31975958385024e-05,4.40839807560374e-05,0.017
"DTE..2","TWFE.ever.adopted",0.968,5.80462587732748e-05,5.67282028156279e-05,0.014
"DTE..20","group.time.ATT",0.997,-4.01364574487099e-05,8.87845098986115e-06,0.001
"DTE..20","group.time.ATT.ever.adopted",0.957,5.31488333226918e-05,2.65813422083675e-05,0.021
"DTE..20","stacked.regression",0.96,0.000227740572756293,8.40772700384744e-06,0.012
"DTE..20","TWFE",0.971,8.05488346590268e-05,4.30241479997857e-05,0.016
"DTE..20","TWFE.ever.adopted",0.972,6.46370417242294e-05,5.47003040371491e-05,0.014
"DTE..21","group.time.ATT",0.996,-4.73789597319421e-06,9.25039485282205e-06,0.002
"DTE..21","group.time.ATT.ever.adopted",0.953,-0.000174043814616856,2.76006618476683e-05,0.023
"DTE..21","stacked.regression",0.944,0.000267877030205003,8.28429392085915e-06,0.021
"DTE..21","TWFE",0.97,0.000124979024262203,4.23981333197929e-05,0.017
"DTE..21","TWFE.ever.adopted",0.969,2.23828057457493e-05,8.75092894695743e-05,0.017
"DTE..22","group.time.ATT",0.997,7.2956848399593e-05,9.0675970983472e-06,0.001
"DTE..22","group.time.ATT.ever.adopted",0.95,7.94789800480186e-05,2.94184863770595e-05,0.016
"DTE..22","stacked.regression",0.949,0.000272614926178197,8.60595965410751e-06,0.019
"DTE..22","TWFE",0.967,0.000117020371776071,4.37464780958746e-05,0.017
"DTE..22","TWFE.ever.adopted",0.969,4.49299447340857e-05,5.56077404488844e-05,0.012
"DTE..23","group.time.ATT",0.998,-9.62930532787229e-06,8.59321246478157e-06,0.001
"DTE..23","group.time.ATT.ever.adopted",0.95,0.000170953897388816,2.87830018550586e-05,0.02
"DTE..23","stacked.regression",0.957,0.000199658077778604,8.38929030287815e-06,0.021
"DTE..23","TWFE",0.976,3.82793813466842e-05,4.25898980873405e-05,0.015
"DTE..23","TWFE.ever.adopted",0.97,-0.000143367700855971,8.74751721402144e-05,0.018
"DTE..24","group.time.ATT",0.998,1.64657819649566e-05,8.90078260749023e-06,0.002
"DTE..24","group.time.ATT.ever.adopted",0.949,-0.000171026989550877,3.15551268887106e-05,0.024
"DTE..24","stacked.regression",0.961,0.000209287383106476,8.30471895779814e-06,0.018
"DTE..24","TWFE",0.978,4.13949297783069e-05,4.17277922346281e-05,0.01
"DTE..24","TWFE.ever.adopted",0.975,-9.03360146742513e-05,5.29251578111693e-05,0.014
"DTE..25","group.time.ATT",0.996,1.91444549949497e-05,9.01796758440672e-06,0.002
"DTE..25","group.time.ATT.ever.adopted",0.956,0.000156640075244049,3.0167294416348e-05,0.02
"DTE..25","stacked.regression",0.953,0.00019282160114152,8.79886447900432e-06,0.022
"DTE..25","TWFE",0.964,4.53886307695739e-05,4.23822387688453e-05,0.022
"DTE..25","TWFE.ever.adopted",0.969,-0.000119136612530961,9.0236767155063e-05,0.018
"DTE..26","group.time.ATT",0.997,-5.10187267658543e-05,8.84190486718025e-06,0.002
"DTE..26","group.time.ATT.ever.adopted",0.96,0.000175688694695064,2.88319258274234e-05,0.022
"DTE..26","stacked.regression",0.954,0.00017367714614657,8.94869099097015e-06,0.022
"DTE..26","TWFE",0.977,-1.51418575167281e-05,4.12493183445135e-05,0.012
"DTE..26","TWFE.ever.adopted",0.976,-0.000254312494066232,5.29044575191223e-05,0.014
"DTE..27","group.time.ATT",0.997,0.000169565035215937,8.58103138710689e-06,0.002
"DTE..27","group.time.ATT.ever.adopted",0.969,-0.000302903607842365,2.95197462630009e-05,0.014
"DTE..27","stacked.regression",0.956,0.000224695872912424,8.37595973131522e-06,0.014
"DTE..27","TWFE",0.978,4.40958896556127e-05,4.19484585124235e-05,0.008
"DTE..27","TWFE.ever.adopted",0.973,-0.000279994103858596,8.67174646813112e-05,0.018
"DTE..28","group.time.ATT",0.999,-0.000172178874728203,8.20051117188341e-06,0
"DTE..28","group.time.ATT.ever.adopted",0.971,-2.04297401921026e-05,2.8155905635494e-05,0.015
"DTE..28","stacked.regression",0.966,5.51308376964877e-05,8.14891216064738e-06,0.016
"DTE..28","TWFE",0.974,-7.13245073390002e-05,4.14943912078185e-05,0.015
"DTE..28","TWFE.ever.adopted",0.963,3.5898212366017e-05,5.528054046687e-05,0.017
"DTE..29","group.time.ATT",0.997,8.89975592122198e-05,9.29560248891349e-06,0
"DTE..29","group.time.ATT.ever.adopted",0.958,0.000224029362444705,2.87745109656419e-05,0.019
"DTE..29","stacked.regression",0.953,0.000227309712424691,8.64011793627764e-06,0.021
"DTE..29","TWFE",0.973,7.42403563573186e-05,4.14976533581811e-05,0.013
"DTE..29","TWFE.ever.adopted",0.977,-9.77450158263015e-05,8.89700657117831e-05,0.013
"DTE..3","group.time.ATT",0.997,-0.000105592690750767,8.90904484755279e-06,0.003
"DTE..3","group.time.ATT.ever.adopted",0.959,-0.000182327544082423,2.88931231117165e-05,0.028
