"parameter","method","coverage","bias","MSE"
"DTE..26","TWFE.ever.adopted",0.9,-0.00157524372533271,2.0245330945101e-05
"DTE..27","group.time.ATT",1,0.000909168217272028,6.75554345416289e-06
"DTE..27","group.time.ATT.ever.adopted",1,0.000240719257016228,3.94357535639052e-06
"DTE..27","TWFE",1,-0.00163676344067435,1.8339220198298e-05
"DTE..27","TWFE.ever.adopted",1,-0.00163676344067435,1.8339220198298e-05
"DTE..28","group.time.ATT",1,-0.00122302976837666,1.22700335150711e-05
"DTE..28","group.time.ATT.ever.adopted",1,0.000372613818496608,9.75762399564996e-06
"DTE..28","TWFE",1,-0.00201385423642271,1.92226902502285e-05
"DTE..28","TWFE.ever.adopted",1,-0.00201385423642271,1.92226902502285e-05
"DTE..29","group.time.ATT",1,-6.12256534887845e-05,4.46502263835416e-06
"DTE..29","group.time.ATT.ever.adopted",1,-0.000137334770356042,1.00350760432367e-05
"DTE..29","TWFE",1,-0.00130519912372682,1.77497906464839e-05
"DTE..29","TWFE.ever.adopted",1,-0.00130519912372682,1.77497906464839e-05
"DTE..3","group.time.ATT",1,0.000123489625213638,2.98880415274155e-06
"DTE..3","group.time.ATT.ever.adopted",1,-7.76390512661066e-05,7.07269681648799e-06
"DTE..3","TWFE",1,-0.00126037936497343,1.23424820130657e-05
"DTE..3","TWFE.ever.adopted",1,-0.00126037936497343,1.23424820130657e-05
"DTE..30","group.time.ATT",1,5.22746123701817e-05,3.09671248880153e-06
"DTE..30","group.time.ATT.ever.adopted",1,-0.000128938104729972,5.72660530735812e-06
"DTE..30","TWFE",1,-0.00152228422137575,1.79127857392085e-05
"DTE..30","TWFE.ever.adopted",1,-0.00152228422137575,1.79127857392085e-05
"DTE..31","group.time.ATT",1,-2.07576902156099e-06,2.68655320336737e-06
"DTE..31","group.time.ATT.ever.adopted",1,-0.000145162891665919,2.72064379706285e-06
"DTE..31","TWFE",1,-0.00200944060403365,1.28620553140349e-05
"DTE..31","TWFE.ever.adopted",1,-0.00200944060403365,1.28620553140349e-05
"DTE..32","group.time.ATT",1,0.000581934142668374,5.75568349424393e-06
