"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.972,-6.5251749617584e-05,3.96253342820972e-06,1
"CTE","group.time.ATT.ever.adopted",0.852,-0.000178647039176732,2.0265029272697e-05,0.981
"CTE","staggered.SA",0.948,-9.27212892947536e-05,4.86404467817476e-06,1
"CTE","target.trial",0.958,-8.46640731012441e-05,4.30341135003061e-06,1
"CTE","TWFE",0.952,-8.3187267619602e-08,2.4291242322576e-07,1
"CTE","TWFE.ever.adopted",0.588,3.35931867085513e-06,1.38994426832143e-06,1
"DTE..1","group.time.ATT",0.998,3.7738968531248e-05,7.75010687257325e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",0.954,-0.000172116087181697,3.17209502125759e-05,0.024
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.965,7.98860694774981e-05,4.08231118077462e-05,0.019
"DTE..1","TWFE.ever.adopted",0.962,0.000199024758037889,6.84383742447325e-05,0.02
"DTE..10","group.time.ATT",0.997,7.2257459251484e-05,7.79018494582041e-06,0.001
"DTE..10","group.time.ATT.ever.adopted",0.953,0.000159255861498123,3.24082880453023e-05,0.022
"DTE..10","stacked.regression",0.966,4.6106971977267e-05,7.27734563886766e-06,0.016
"DTE..10","TWFE",0.956,0.000117287738632271,4.30250523154182e-05,0.02
"DTE..10","TWFE.ever.adopted",0.968,0.000112787941398889,6.33457905605085e-05,0.013
"DTE..11","group.time.ATT",0.994,-3.00118207299888e-05,7.71227338592515e-06,0.003
"DTE..11","group.time.ATT.ever.adopted",0.96,3.98808777123477e-05,3.23317532480845e-05,0.021
"DTE..11","stacked.regression",0.954,-2.6150487274217e-05,7.76264668218734e-06,0.022
"DTE..11","TWFE",0.963,5.5149303419113e-05,4.25095339027113e-05,0.019
"DTE..11","TWFE.ever.adopted",0.952,0.000116492610836135,7.95042887283995e-05,0.025
"DTE..12","group.time.ATT",0.996,-3.39260846766176e-05,8.48861744260667e-06,0.002
"DTE..12","group.time.ATT.ever.adopted",0.948,-0.000269129883595843,3.37141329221721e-05,0.028
"DTE..12","stacked.regression",0.952,3.86133345577173e-06,7.67586907182923e-06,0.024
"DTE..12","TWFE",0.971,4.37379315964682e-05,4.26167162809077e-05,0.015
"DTE..12","TWFE.ever.adopted",0.968,-7.96086772457544e-05,6.00149342343962e-05,0.015
"DTE..13","group.time.ATT",0.995,3.35107972836848e-05,8.06007072456797e-06,0.004
"DTE..13","group.time.ATT.ever.adopted",0.947,0.000111680310049772,3.23317575088861e-05,0.031
"DTE..13","stacked.regression",0.941,3.7787418132389e-05,7.60916488911968e-06,0.033
"DTE..13","TWFE",0.968,0.000106498629153086,4.03901942655865e-05,0.012
"DTE..13","TWFE.ever.adopted",0.951,0.000183710077479655,7.1793803927799e-05,0.026
"DTE..14","group.time.ATT",0.996,0.000183462470535208,7.66515127635295e-06,0.001
"DTE..14","group.time.ATT.ever.adopted",0.962,-1.07226915824939e-05,3.19860711216143e-05,0.021
"DTE..14","stacked.regression",0.952,4.27662084870461e-06,7.92945660823588e-06,0.028
"DTE..14","TWFE",0.967,6.47064043713953e-05,4.30869133035407e-05,0.015
"DTE..14","TWFE.ever.adopted",0.961,4.50652244107209e-05,6.02791572134e-05,0.019
"DTE..15","group.time.ATT",0.998,-0.000156517893850385,8.32533816708788e-06,0.002
"DTE..15","group.time.ATT.ever.adopted",0.958,-8.96139435593942e-05,3.33901179988925e-05,0.023
"DTE..15","stacked.regression",0.939,-0.000179185849686504,7.99302710215683e-06,0.039
"DTE..15","TWFE",0.965,-6.31759552451836e-05,4.17949475636675e-05,0.018
"DTE..15","TWFE.ever.adopted",0.943,0.000185537993535705,7.61691145232772e-05,0.031
"DTE..16","group.time.ATT",0.992,0.000123664710507555,8.36247270654913e-06,0.003
"DTE..16","group.time.ATT.ever.adopted",0.965,6.52579526148021e-05,3.39924954539868e-05,0.016
"DTE..16","stacked.regression",0.949,-2.26679558361192e-05,7.80887487720895e-06,0.025
"DTE..16","TWFE",0.96,7.28784851070374e-05,4.20230006966501e-05,0.013
"DTE..16","TWFE.ever.adopted",0.949,0.000142779897182112,6.0684652418168e-05,0.02
"DTE..17","group.time.ATT",0.999,-0.000135525551153304,7.18863218023801e-06,0
"DTE..17","group.time.ATT.ever.adopted",0.952,-0.000185857631947992,3.31534869439739e-05,0.029
"DTE..17","stacked.regression",0.95,-0.000146332666343674,7.99975740903946e-06,0.025
"DTE..17","TWFE",0.958,-3.04190227512136e-05,4.28418770928937e-05,0.023
"DTE..17","TWFE.ever.adopted",0.949,0.000192353281876125,7.79461037290154e-05,0.027
"DTE..18","group.time.ATT",0.997,6.70406100292697e-05,8.21110191695789e-06,0.002
"DTE..18","group.time.ATT.ever.adopted",0.966,0.000174911272341398,3.26794938809967e-05,0.014
"DTE..18","stacked.regression",0.953,-1.08071151903706e-05,7.54957389248863e-06,0.025
"DTE..18","TWFE",0.96,0.000130248912993692,4.25820268757659e-05,0.021
"DTE..18","TWFE.ever.adopted",0.962,0.00035809218431756,5.8510540568353e-05,0.015
"DTE..19","group.time.ATT",0.996,3.29929319361228e-05,7.95685372496042e-06,0.002
"DTE..19","group.time.ATT.ever.adopted",0.963,0.000172755194285788,3.07958503020221e-05,0.015
"DTE..19","stacked.regression",0.955,-7.78477252196398e-05,7.91697111644466e-06,0.026
"DTE..19","TWFE",0.962,2.02541405172497e-06,4.02605947839361e-05,0.014
"DTE..19","TWFE.ever.adopted",0.961,1.31043169313548e-05,7.25024843374062e-05,0.023
"DTE..2","group.time.ATT",0.995,-3.29972500124682e-05,8.06779956440091e-06,0.002
"DTE..2","group.time.ATT.ever.adopted",0.951,4.78144041859039e-06,3.23802103062785e-05,0.024
"DTE..2","stacked.regression",0.955,-3.77389685312477e-05,7.75010687257325e-06,0.02
"DTE..2","TWFE",0.963,9.54148034000934e-05,4.26466119853785e-05,0.016
"DTE..2","TWFE.ever.adopted",0.955,0.000317037762319166,6.78211020416634e-05,0.021
"DTE..20","group.time.ATT",0.998,6.63003847736337e-05,7.53404790632598e-06,0.002
"DTE..20","group.time.ATT.ever.adopted",0.961,6.02088244533937e-06,2.97843524770067e-05,0.023
"DTE..20","stacked.regression",0.95,-0.000110840657155763,7.62563087093143e-06,0.029
"DTE..20","TWFE",0.958,-3.28714070991479e-05,4.26718137329829e-05,0.019
"DTE..20","TWFE.ever.adopted",0.97,-8.40420875204608e-05,5.79277672759725e-05,0.011
"DTE..21","group.time.ATT",0.995,-3.34675404639796e-05,8.00083625883761e-06,0.002
"DTE..21","group.time.ATT.ever.adopted",0.96,-0.000121672357876146,3.20278987604165e-05,0.022
"DTE..21","stacked.regression",0.958,-0.000177141041929397,7.4827190514228e-06,0.022
"DTE..21","TWFE",0.962,-7.58378217645245e-05,4.42275598170809e-05,0.019
"DTE..21","TWFE.ever.adopted",0.951,2.60636178812555e-05,8.17911758472933e-05,0.027
"DTE..22","group.time.ATT",0.999,5.28729701963054e-05,7.6975412297914e-06,0
"DTE..22","group.time.ATT.ever.adopted",0.953,1.88211417709666e-05,3.19685399068899e-05,0.023
"DTE..22","stacked.regression",0.956,-0.000143673501465417,7.41037832268142e-06,0.024
"DTE..22","TWFE",0.959,-3.75246725368824e-05,4.26059534897441e-05,0.024
"DTE..22","TWFE.ever.adopted",0.96,6.88619306962932e-05,5.93226907729078e-05,0.018
"DTE..23","group.time.ATT",0.997,-4.30429034461061e-05,7.42045352032714e-06,0.001
"DTE..23","group.time.ATT.ever.adopted",0.952,0.000139425056468131,3.30694418883661e-05,0.027
"DTE..23","stacked.regression",0.95,-0.000196546471661723,7.69364077083661e-06,0.035
"DTE..23","TWFE",0.961,-9.73566739784578e-05,4.29586422546951e-05,0.02
"DTE..23","TWFE.ever.adopted",0.94,2.60577832523895e-05,8.42903238248831e-05,0.036
"DTE..24","group.time.ATT",0.998,-7.18957885982904e-05,7.52539833719356e-06,0
"DTE..24","group.time.ATT.ever.adopted",0.949,-0.000215059609910508,3.14161360861278e-05,0.029
"DTE..24","stacked.regression",0.956,-0.000153503568215617,7.55597557857638e-06,0.028
