"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.937,3.09209410364917e-05,2.85665013447539e-06,1
"CTE","group.time.ATT.ever.adopted",0.934,0.000130724082261629,5.4842503957627e-06,1
"CTE","staggered.SA",0.93,4.03801545294759e-05,3.24777239306992e-06,1
"CTE","TWFE",0.966,8.75138864795044e-06,2.20922246803294e-07,1
"CTE","TWFE.ever.adopted",0.834,1.28317357778122e-05,4.99164771421003e-07,1
"DTE..1","group.time.ATT",0.998,-0.000166483248971299,5.6625536345098e-06,0.002
"DTE..1","group.time.ATT.ever.adopted",0.998,-0.000216141791498587,9.21884230195984e-06,0
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.951,-0.000111524036646814,9.30825119067381e-06,0.026
"DTE..1","TWFE.ever.adopted",0.96,-0.000331103123309599,1.61633123658868e-05,0.023
"DTE..10","group.time.ATT",0.997,3.38095591325048e-05,5.77501509562793e-06,0.001
"DTE..10","group.time.ATT.ever.adopted",0.992,1.71996580294725e-05,8.30986346743934e-06,0.005
"DTE..10","stacked.regression",0.947,5.01716133633528e-05,5.38375106072136e-06,0.023
"DTE..10","TWFE",0.942,-5.56783052563361e-05,1.01775158425687e-05,0.03
"DTE..10","TWFE.ever.adopted",0.948,-0.000222843527383275,1.48277472539451e-05,0.027
"DTE..11","group.time.ATT",0.995,-1.23014909332818e-05,5.82255700615192e-06,0.002
"DTE..11","group.time.ATT.ever.adopted",0.991,-3.51350077443867e-05,8.25880735515352e-06,0.005
"DTE..11","stacked.regression",0.942,1.6362054230848e-05,5.97316009741274e-06,0.028
"DTE..11","TWFE",0.938,-8.70189621506359e-05,9.77121866762946e-06,0.034
"DTE..11","TWFE.ever.adopted",0.95,-0.000163712936600504,1.49157323260777e-05,0.023
"DTE..12","group.time.ATT",0.997,-3.49025535656438e-05,5.2610236711203e-06,0.001
"DTE..12","group.time.ATT.ever.adopted",0.996,-4.75105673240349e-05,7.78972473150324e-06,0.002
"DTE..12","stacked.regression",0.944,2.86635451641298e-05,5.91720141327344e-06,0.026
"DTE..12","TWFE",0.944,-0.000112298596044001,9.94608189029088e-06,0.029
"DTE..12","TWFE.ever.adopted",0.941,-0.000178509420129875,1.57850228231495e-05,0.032
"DTE..13","group.time.ATT",0.994,1.65652721985157e-05,6.12044475469514e-06,0.005
"DTE..13","group.time.ATT.ever.adopted",0.991,-9.29694448100149e-05,8.8092753840774e-06,0.006
