"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.936,-3.25741150673935e-05,3.30832703897535e-06,1
"CTE","group.time.ATT.ever.adopted",0.93,4.68800764557654e-05,6.04701990260272e-06,1
"CTE","staggered.SA",0.932,-3.2574115067392e-05,3.30832703897535e-06,1
"CTE","TWFE",0.95,2.78897792921118e-05,2.54359485877343e-07,1
"CTE","TWFE.ever.adopted",0.799,2.94256589234623e-05,6.04505025951447e-07,1
"DTE..1","group.time.ATT",0.992,-4.24086463558893e-05,5.67525628939215e-06,0.003
"DTE..1","group.time.ATT.ever.adopted",0.994,-1.51824077129691e-05,9.22754665213181e-06,0.002
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.957,-6.18382789778559e-05,1.19803161102805e-05,0.025
"DTE..1","TWFE.ever.adopted",0.957,-6.18382789778559e-05,1.19803161102805e-05,0.025
"DTE..10","group.time.ATT",0.994,0.000107661555709422,5.46109622439385e-06,0.002
"DTE..10","group.time.ATT.ever.adopted",0.988,1.82402420310178e-05,8.2150032888678e-06,0.005
"DTE..10","stacked.regression",0.954,2.1117610333543e-05,5.52499970537415e-06,0.022
"DTE..10","TWFE",0.966,0.000160418511306854,1.39214277698094e-05,0.012
"DTE..10","TWFE.ever.adopted",0.966,0.000160418511306854,1.39214277698094e-05,0.012
"DTE..11","group.time.ATT",0.998,-4.03984295619817e-06,5.65763082924911e-06,0.001
"DTE..11","group.time.ATT.ever.adopted",0.992,-8.14174093906819e-05,9.05792540818918e-06,0.004
"DTE..11","stacked.regression",0.943,-8.65439453758788e-05,5.86096235991564e-06,0.029
"DTE..11","TWFE",0.948,-0.0001353736365742,1.45479208201853e-05,0.027
"DTE..11","TWFE.ever.adopted",0.948,-0.0001353736365742,1.45479208201853e-05,0.027
"DTE..12","group.time.ATT",0.998,9.73168491511855e-05,5.61310184478998e-06,0.001
"DTE..12","group.time.ATT.ever.adopted",0.995,7.4961306141219e-05,8.88378572811294e-06,0.002
