"parameter","method","coverage","bias","MSE","power"
"DTE..2","group.time.ATT.ever.adopted",0.996,0.000141498752347668,9.13154234631819e-06,0.002
"DTE..2","stacked.regression",0.952,3.37901150275137e-05,6.00000538573816e-06,0.026
"DTE..2","TWFE",0.952,0.00020969207655457,3.92837540664621e-05,0.023
"DTE..2","TWFE.ever.adopted",0.952,0.00020969207655457,3.92837540664621e-05,0.023
"DTE..20","group.time.ATT",0.998,0.00013078866341898,6.03630710251793e-06,0.001
"DTE..20","group.time.ATT.ever.adopted",0.995,-3.81356231818819e-05,8.91589191677205e-06,0.003
"DTE..20","stacked.regression",0.946,5.6245395135127e-05,6.15126582703051e-06,0.022
"DTE..20","TWFE",0.948,0.000123813489113017,1.27838106851405e-05,0.023
"DTE..20","TWFE.ever.adopted",0.948,0.000123813489113017,1.27838106851405e-05,0.023
"DTE..21","group.time.ATT",0.995,-3.68215170825646e-05,5.6243404077968e-06,0.002
"DTE..21","group.time.ATT.ever.adopted",0.993,2.92428864022155e-05,8.93857562495468e-06,0.003
"DTE..21","stacked.regression",0.954,-7.45432682838532e-05,5.80027443434465e-06,0.025
"DTE..21","TWFE",0.946,-0.000268152120798818,5.5459584618885e-05,0.031
"DTE..21","TWFE.ever.adopted",0.946,-0.000268152120798818,5.5459584618885e-05,0.031
"DTE..22","group.time.ATT",0.996,-4.17790528735938e-05,5.906618668227e-06,0.002
"DTE..22","group.time.ATT.ever.adopted",0.993,7.57243317772028e-05,8.71824734362435e-06,0.001
"DTE..22","stacked.regression",0.954,-3.77217512012886e-05,5.73724533647292e-06,0.02
"DTE..22","TWFE",0.937,6.31600649582562e-05,5.82336058678986e-05,0.033
"DTE..22","TWFE.ever.adopted",0.937,6.31600649582562e-05,5.82336058678986e-05,0.033
"DTE..23","group.time.ATT",0.999,6.30869756863586e-05,5.96453561890056e-06,0.001
"DTE..23","group.time.ATT.ever.adopted",0.993,5.66607863327358e-05,8.2708544693457e-06,0.003
"DTE..23","stacked.regression",0.951,4.05730167230522e-06,6.03163384252383e-06,0.026
"DTE..23","TWFE",0.943,7.1150381381308e-05,5.80933592234164e-05,0.031
"DTE..23","TWFE.ever.adopted",0.943,7.1150381381308e-05,5.80933592234164e-05,0.031
"DTE..24","group.time.ATT",0.993,-1.91726454441119e-05,5.6606754179137e-06,0.002
"DTE..24","group.time.ATT.ever.adopted",0.991,4.17723349193601e-05,8.03230833883285e-06,0.007
"DTE..24","stacked.regression",0.949,-5.90296740140533e-05,6.19864821411506e-06,0.025
"DTE..24","TWFE",0.951,-0.000114629767920287,5.35789037372835e-05,0.026
"DTE..24","TWFE.ever.adopted",0.951,-0.000114629767920287,5.35789037372835e-05,0.026
"DTE..25","group.time.ATT",1,-0.000111498726159636,5.81559897837229e-06,0
"DTE..25","group.time.ATT.ever.adopted",0.993,-0.000325169364769021,8.55643727819282e-06,0.003
"DTE..25","stacked.regression",0.955,-3.98570285699414e-05,5.80186431622343e-06,0.02
"DTE..25","TWFE",0.953,0.000333977735045156,5.38143156620325e-05,0.021
"DTE..25","TWFE.ever.adopted",0.953,0.000333977735045156,5.38143156620325e-05,0.021
"DTE..26","group.time.ATT",0.998,8.80895750567298e-05,6.03636618466504e-06,0
"DTE..26","group.time.ATT.ever.adopted",0.997,0.000253188279692911,8.1785166785285e-06,0.001
"DTE..26","stacked.regression",0.94,7.16416975896944e-05,6.35059541116317e-06,0.023
"DTE..26","TWFE",0.959,0.000277319550002961,5.26274728710953e-05,0.017
"DTE..26","TWFE.ever.adopted",0.959,0.000277319550002961,5.26274728710953e-05,0.017
"DTE..27","group.time.ATT",0.999,1.71796566218645e-05,5.3286682748154e-06,0.001
"DTE..27","group.time.ATT.ever.adopted",0.993,7.48868321091175e-05,7.75928655734993e-06,0.002
"DTE..27","stacked.regression",0.949,-1.64478774670355e-05,6.13299811047043e-06,0.03
"DTE..27","TWFE",0.954,2.37624705385874e-05,5.43222761694802e-05,0.023
"DTE..27","TWFE.ever.adopted",0.954,2.37624705385874e-05,5.43222761694802e-05,0.023
"DTE..28","group.time.ATT",1,4.27204584838139e-05,5.47601526189896e-06,0
"DTE..28","group.time.ATT.ever.adopted",0.994,-5.35292138395785e-05,8.03169931988588e-06,0.003
"DTE..28","stacked.regression",0.966,-3.36275340888998e-05,5.44093847582898e-06,0.017
"DTE..28","TWFE",0.953,2.31814510025264e-05,1.18270929593154e-05,0.028
"DTE..28","TWFE.ever.adopted",0.953,2.31814510025264e-05,1.18270929593154e-05,0.028
"DTE..29","group.time.ATT",0.999,5.33318473756024e-05,6.06926840745472e-06,0.001
"DTE..29","group.time.ATT.ever.adopted",0.994,-5.72008989582725e-05,8.31085662981463e-06,0.003
"DTE..29","stacked.regression",0.952,-7.63479925727136e-05,5.79481052431975e-06,0.03
"DTE..29","TWFE",0.942,-0.000336256077859591,6.13674533974463e-05,0.035
"DTE..29","TWFE.ever.adopted",0.942,-0.000336256077859591,6.13674533974463e-05,0.035
"DTE..3","group.time.ATT",0.998,1.24754138695832e-05,5.85535047438829e-06,0.001
"DTE..3","group.time.ATT.ever.adopted",0.991,2.20966526704595e-05,9.71963295609782e-06,0.006
"DTE..3","stacked.regression",0.954,-6.925561948688e-05,5.97178889209818e-06,0.025
"DTE..3","TWFE",0.952,-7.39059813405711e-05,4.05038771571294e-05,0.024
"DTE..3","TWFE.ever.adopted",0.952,-7.39059813405711e-05,4.05038771571294e-05,0.024
"DTE..30","group.time.ATT",0.999,-0.000123813257087884,6.17182375616364e-06,0
"DTE..30","group.time.ATT.ever.adopted",0.997,-8.90541289323447e-05,9.08059496229786e-06,0.001
"DTE..30","stacked.regression",0.945,-0.000129679839948316,6.15905471139906e-06,0.031
"DTE..30","TWFE",0.942,-3.84575885511516e-05,6.23918812484107e-05,0.029
"DTE..30","TWFE.ever.adopted",0.942,-3.84575885511516e-05,6.23918812484107e-05,0.029
"DTE..31","group.time.ATT",1,-3.29088354074932e-05,5.69084430423288e-06,0
"DTE..31","group.time.ATT.ever.adopted",0.988,9.01701406894082e-05,9.09432315880608e-06,0.007
"DTE..31","stacked.regression",0.944,-5.86658286043236e-06,6.2848801168915e-06,0.029
"DTE..31","TWFE",0.939,4.67759566610282e-05,6.32614821925539e-05,0.03
"DTE..31","TWFE.ever.adopted",0.939,4.67759566610282e-05,6.32614821925539e-05,0.03
"DTE..32","group.time.ATT",0.999,2.45771107668347e-05,5.88540464159419e-06,0.001
"DTE..32","group.time.ATT.ever.adopted",0.992,-2.48550231956828e-06,8.71594985622345e-06,0.002
"DTE..32","stacked.regression",0.952,2.70422525470607e-05,5.93923696907119e-06,0.015
"DTE..32","TWFE",0.96,-8.52514068975533e-05,5.77145150139335e-05,0.023
"DTE..32","TWFE.ever.adopted",0.96,-8.52514068975533e-05,5.77145150139335e-05,0.023
"DTE..33","group.time.ATT",0.998,6.85542941223079e-05,5.78305984782307e-06,0.001
