"parameter","method","coverage","bias","MSE","power"
"DTE..2","group.time.ATT",1,1.74346718300988e-05,7.34355495513144e-06,0
"DTE..2","group.time.ATT.ever.adopted",0.948,-9.20187565552049e-05,3.23106099804978e-05,0.03
"DTE..2","stacked.regression",0.947,1.19599119111786e-05,7.82992468052581e-06,0.028
"DTE..2","TWFE",0.961,-7.64200392636378e-05,4.08002777345525e-05,0.023
"DTE..2","TWFE.ever.adopted",0.963,-3.36555873148246e-05,6.3889175032469e-05,0.02
"DTE..20","group.time.ATT",0.998,-0.000118730194522181,7.98631566525323e-06,0.002
"DTE..20","group.time.ATT.ever.adopted",0.965,-5.35941258602812e-06,3.152135457236e-05,0.016
"DTE..20","stacked.regression",0.95,-3.64834416219099e-05,7.94423927065769e-06,0.028
"DTE..20","TWFE",0.969,-9.11554502042414e-05,3.96595839249244e-05,0.017
"DTE..20","TWFE.ever.adopted",0.966,6.50669673468113e-05,5.40054957479492e-05,0.019
"DTE..21","group.time.ATT",1,-6.98612653799493e-05,8.03938378191172e-06,0
"DTE..21","group.time.ATT.ever.adopted",0.958,-1.75559408384144e-05,3.09769247172447e-05,0.017
"DTE..21","stacked.regression",0.936,8.22467529002711e-05,7.80438192247666e-06,0.03
"DTE..21","TWFE",0.964,-2.0296624407554e-05,4.05165062138271e-05,0.02
"DTE..21","TWFE.ever.adopted",0.956,9.23015735767854e-05,7.64889799146055e-05,0.02
"DTE..22","group.time.ATT",0.997,0.000207629663680719,7.62616380300444e-06,0
"DTE..22","group.time.ATT.ever.adopted",0.96,0.00013716702021427,3.03519146138776e-05,0.015
"DTE..22","stacked.regression",0.933,0.00015210801828022,8.63241504533427e-06,0.03
"DTE..22","TWFE",0.957,4.55868708312368e-05,3.97077035932217e-05,0.021
"DTE..22","TWFE.ever.adopted",0.965,2.59682926519511e-06,5.57456717588372e-05,0.02
"DTE..23","group.time.ATT",0.996,-4.39778435433205e-05,7.63464393381769e-06,0.001
"DTE..23","group.time.ATT.ever.adopted",0.959,-0.000237218492144671,3.12229461997007e-05,0.023
"DTE..23","stacked.regression",0.951,-5.55216454004987e-05,7.94949807171235e-06,0.029
"DTE..23","TWFE",0.972,-0.000128499366631936,3.98591701620432e-05,0.014
"DTE..23","TWFE.ever.adopted",0.953,6.4614840219965e-05,7.70550165290057e-05,0.028
"DTE..24","group.time.ATT",0.998,2.03299186865982e-05,7.58602160691107e-06,0.002
"DTE..24","group.time.ATT.ever.adopted",0.963,-1.72615956082184e-05,3.13061820407932e-05,0.021
"DTE..24","stacked.regression",0.944,-1.15438018571779e-05,8.03516618371301e-06,0.022
"DTE..24","TWFE",0.968,-7.98682077948491e-05,4.05657227938276e-05,0.018
"DTE..24","TWFE.ever.adopted",0.97,7.94220048520457e-06,5.5091074144616e-05,0.018
"DTE..25","group.time.ATT",0.998,2.83380802203672e-05,7.66031406505677e-06,0.002
"DTE..25","group.time.ATT.ever.adopted",0.962,3.47828513833479e-05,3.20871232378596e-05,0.018
"DTE..25","stacked.regression",0.952,-3.18737205437762e-05,8.10159969403325e-06,0.023
"DTE..25","TWFE",0.961,-7.95465026575095e-05,4.00560478268728e-05,0.021
"DTE..25","TWFE.ever.adopted",0.949,0.000167765960518002,7.53845917460859e-05,0.024
"DTE..26","group.time.ATT",0.996,-0.000129391751058295,7.99288901286981e-06,0.002
"DTE..26","group.time.ATT.ever.adopted",0.964,-7.83674934673576e-05,3.12871040559504e-05,0.023
"DTE..26","stacked.regression",0.942,-6.02118007641438e-05,8.27982512142227e-06,0.03
"DTE..26","TWFE",0.965,-0.00014986558383748,4.05025725798371e-05,0.022
"DTE..26","TWFE.ever.adopted",0.964,-0.000138084971222294,5.55876029432293e-05,0.023
"DTE..27","group.time.ATT",0.996,0.00010222786979647,7.99741040670596e-06,0.001
"DTE..27","group.time.ATT.ever.adopted",0.961,0.000191358806861731,3.32029506123222e-05,0.021
"DTE..27","stacked.regression",0.937,6.91799502941518e-05,8.97877385977831e-06,0.033
"DTE..27","TWFE",0.968,-2.03697993661965e-05,3.97004123934098e-05,0.017
"DTE..27","TWFE.ever.adopted",0.947,7.34786082744146e-05,7.72894990969338e-05,0.031
"DTE..28","group.time.ATT",0.998,5.93846487032735e-05,7.45359345350153e-06,0
"DTE..28","group.time.ATT.ever.adopted",0.953,0.000164276983492431,3.50902916466938e-05,0.026
"DTE..28","stacked.regression",0.946,-3.30479195023182e-05,8.18722250853525e-06,0.027
"DTE..28","TWFE",0.966,-8.17973042278803e-05,4.11053989465865e-05,0.02
"DTE..28","TWFE.ever.adopted",0.966,0.000136819239990663,5.68775982219131e-05,0.019
"DTE..29","group.time.ATT",0.997,-7.43453931521096e-05,7.64507633149657e-06,0.003
"DTE..29","group.time.ATT.ever.adopted",0.958,-0.000242184661069878,3.13557343579712e-05,0.027
"DTE..29","stacked.regression",0.952,-9.2432568205591e-05,8.16713392817296e-06,0.021
"DTE..29","TWFE",0.96,-0.000159223703977393,4.02857258500575e-05,0.023
"DTE..29","TWFE.ever.adopted",0.948,7.55333971919584e-05,8.1507650915231e-05,0.025
"DTE..3","group.time.ATT",0.996,0.00012008428301108,7.70314793152919e-06,0.001
"DTE..3","group.time.ATT.ever.adopted",0.968,0.000255649485202031,3.13758378153444e-05,0.01
"DTE..3","stacked.regression",0.94,-5.47475991892021e-06,8.35976731665478e-06,0.033
"DTE..3","TWFE",0.974,-7.50321496514109e-05,4.00192786136681e-05,0.015
"DTE..3","TWFE.ever.adopted",0.96,0.000173863615171765,6.74125096530477e-05,0.021
"DTE..30","group.time.ATT",0.997,-4.39300802249718e-05,7.6205651113547e-06,0.002
"DTE..30","group.time.ATT.ever.adopted",0.966,-3.24415255782428e-05,3.34023536768728e-05,0.017
"DTE..30","stacked.regression",0.959,-1.80871750534814e-05,7.69222927734023e-06,0.017
"DTE..30","TWFE",0.967,-8.9837537978493e-05,3.91177318657549e-05,0.016
"DTE..30","TWFE.ever.adopted",0.962,4.25050449985356e-05,5.66589792034456e-05,0.021
"DTE..31","group.time.ATT",0.997,-8.2390203925485e-06,7.68346177568083e-06,0.001
"DTE..31","group.time.ATT.ever.adopted",0.953,-6.35810735510092e-05,3.28524730858434e-05,0.029
"DTE..31","stacked.regression",0.952,2.58429051714904e-05,8.12289924406635e-06,0.022
"DTE..31","TWFE",0.966,-3.75935174679593e-05,3.94320095552194e-05,0.021
"DTE..31","TWFE.ever.adopted",0.954,0.00022952640062167,8.29045394170354e-05,0.022
"DTE..32","group.time.ATT",0.996,8.91578126625674e-05,8.03735813333161e-06,0.002
"DTE..32","group.time.ATT.ever.adopted",0.955,7.72516538782135e-05,3.24121479338589e-05,0.019
"DTE..32","stacked.regression",0.947,3.40819255640386e-05,7.8411394831718e-06,0.028
"DTE..32","TWFE",0.963,-4.17296428472926e-05,3.99912335965335e-05,0.023
