"parameter","method","coverage","bias","MSE","power"
"DTE..2","group.time.ATT.ever.adopted",0.966,-0.000302667958522087,2.82290956245587e-05,0.018
"DTE..2","stacked.regression",0.952,-7.80566329945765e-05,8.6881868185725e-06,0.029
"DTE..2","TWFE",0.983,-0.000262517605937279,5.19199978894124e-05,0.011
"DTE..2","TWFE.ever.adopted",0.983,-0.000262517605937279,5.19199978894124e-05,0.011
"DTE..20","group.time.ATT",0.996,-0.000113231578060599,9.15911842956236e-06,0.003
"DTE..20","group.time.ATT.ever.adopted",0.958,0.000108248599139959,2.94178172028783e-05,0.022
"DTE..20","stacked.regression",0.959,-1.60024189615736e-05,8.10754738234795e-06,0.022
"DTE..20","TWFE",0.979,-2.32961934992202e-06,5.19884262937463e-05,0.009
"DTE..20","TWFE.ever.adopted",0.979,-2.32961934992202e-06,5.19884262937463e-05,0.009
"DTE..21","group.time.ATT",0.997,2.93436139258682e-05,9.36572480955172e-06,0.001
"DTE..21","group.time.ATT.ever.adopted",0.951,-0.000125706126144805,3.22623530763071e-05,0.03
"DTE..21","stacked.regression",0.953,9.72291590990254e-05,8.43380327618052e-06,0.025
"DTE..21","TWFE",0.956,8.87608922924523e-06,9.39315252915332e-05,0.023
"DTE..21","TWFE.ever.adopted",0.956,8.87608922924523e-06,9.39315252915332e-05,0.023
"DTE..22","group.time.ATT",0.998,5.23551356090819e-05,9.4420713008185e-06,0.001
"DTE..22","group.time.ATT.ever.adopted",0.955,0.000207562028819028,2.9049577382563e-05,0.022
"DTE..22","stacked.regression",0.957,6.78855451731576e-05,8.59224524493862e-06,0.02
"DTE..22","TWFE",0.974,-0.000107189992200103,5.12861299035992e-05,0.014
"DTE..22","TWFE.ever.adopted",0.974,-0.000107189992200103,5.12861299035992e-05,0.014
"DTE..23","group.time.ATT",0.997,-1.03953637471697e-05,8.63239358874874e-06,0.002
"DTE..23","group.time.ATT.ever.adopted",0.959,0.000231511245329403,2.92970830429149e-05,0.022
"DTE..23","stacked.regression",0.955,1.55304095640751e-05,8.77571760725268e-06,0.026
"DTE..23","TWFE",0.975,6.25400984976668e-05,9.04432167889181e-05,0.01
"DTE..23","TWFE.ever.adopted",0.975,6.25400984976668e-05,9.04432167889181e-05,0.01
"DTE..24","group.time.ATT",0.997,8.39655142919667e-05,9.3936202036767e-06,0.002
"DTE..24","group.time.ATT.ever.adopted",0.951,-0.000251460309561849,2.90408652727664e-05,0.024
"DTE..24","stacked.regression",0.966,2.59257733112451e-05,7.94617496296002e-06,0.02
"DTE..24","TWFE",0.981,-0.000328397352104729,4.68695934475455e-05,0.012
"DTE..24","TWFE.ever.adopted",0.981,-0.000328397352104729,4.68695934475455e-05,0.012
"DTE..25","group.time.ATT",0.995,-1.52344410817578e-05,9.25042262515627e-06,0.003
"DTE..25","group.time.ATT.ever.adopted",0.957,-0.000160398804345665,3.03088107953077e-05,0.02
"DTE..25","stacked.regression",0.949,-5.80397409807216e-05,9.16726284569674e-06,0.029
"DTE..25","TWFE",0.971,-8.1373985956014e-05,9.00023756661066e-05,0.015
"DTE..25","TWFE.ever.adopted",0.971,-8.1373985956014e-05,9.00023756661066e-05,0.015
"DTE..26","group.time.ATT",1,7.04482043567322e-05,8.80208054392007e-06,0
"DTE..26","group.time.ATT.ever.adopted",0.96,0.000395578855353132,3.07233233306351e-05,0.017
"DTE..26","stacked.regression",0.954,-4.28052998989641e-05,8.49389964954932e-06,0.026
"DTE..26","TWFE",0.977,-0.000153460087903648,5.26474621528877e-05,0.011
"DTE..26","TWFE.ever.adopted",0.977,-0.000153460087903648,5.26474621528877e-05,0.011
"DTE..27","group.time.ATT",0.996,-0.000183456189378139,8.22920909932936e-06,0.003
"DTE..27","group.time.ATT.ever.adopted",0.96,-0.000109451548925136,3.08100482118435e-05,0.018
"DTE..27","stacked.regression",0.962,-0.000113253504255696,8.30820562995337e-06,0.022
"DTE..27","TWFE",0.97,-0.000133664522774759,9.43201345093622e-05,0.017
"DTE..27","TWFE.ever.adopted",0.97,-0.000133664522774759,9.43201345093622e-05,0.017
"DTE..28","group.time.ATT",0.996,9.76297993921636e-05,8.62353613057406e-06,0.003
"DTE..28","group.time.ATT.ever.adopted",0.954,-7.47294068603158e-05,2.82643787648699e-05,0.023
"DTE..28","stacked.regression",0.956,7.02026851224427e-05,8.17580568679473e-06,0.021
"DTE..28","TWFE",0.972,-0.000339668574752179,5.40753050422006e-05,0.019
"DTE..28","TWFE.ever.adopted",0.972,-0.000339668574752179,5.40753050422006e-05,0.019
"DTE..29","group.time.ATT",0.999,-3.5697750654382e-05,9.50818995123772e-06,0
"DTE..29","group.time.ATT.ever.adopted",0.962,8.84305125610699e-05,2.86629158376293e-05,0.018
"DTE..29","stacked.regression",0.953,-2.7427114269721e-05,8.77099596017379e-06,0.026
"DTE..29","TWFE",0.972,1.00663462374389e-05,9.08508063498232e-05,0.014
"DTE..29","TWFE.ever.adopted",0.972,1.00663462374389e-05,9.08508063498232e-05,0.014
"DTE..3","group.time.ATT",0.998,-1.31085639513301e-05,9.63262069012338e-06,0.001
"DTE..3","group.time.ATT.ever.adopted",0.962,-2.16157750359421e-05,2.90743653357623e-05,0.014
"DTE..3","stacked.regression",0.955,2.75989500156683e-06,8.4524736166581e-06,0.023
"DTE..3","TWFE",0.975,1.12692082134389e-05,8.02779321977546e-05,0.012
"DTE..3","TWFE.ever.adopted",0.975,1.12692082134389e-05,8.02779321977546e-05,0.012
"DTE..30","group.time.ATT",0.998,-3.20090680812441e-05,8.99549592976648e-06,0.001
"DTE..30","group.time.ATT.ever.adopted",0.958,-9.42339178064859e-05,2.94391858956837e-05,0.025
"DTE..30","stacked.regression",0.959,8.27063638466124e-06,8.52506870932489e-06,0.021
"DTE..30","TWFE",0.976,-0.000239067524106593,5.43576037737404e-05,0.015
"DTE..30","TWFE.ever.adopted",0.976,-0.000239067524106593,5.43576037737404e-05,0.015
"DTE..31","group.time.ATT",1,-1.07878215592025e-05,9.29906733686489e-06,0
"DTE..31","group.time.ATT.ever.adopted",0.957,-0.000215380768747804,3.02628374455422e-05,0.025
"DTE..31","stacked.regression",0.948,4.02797044659053e-05,8.35492214499878e-06,0.029
"DTE..31","TWFE",0.973,-4.26336549282879e-05,9.38802805624203e-05,0.014
