"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.971,2.03942549571096e-05,4.81746033009086e-06,1
"CTE","group.time.ATT.ever.adopted",0.871,-1.6890437877982e-05,1.87616623626756e-05,0.984
"CTE","staggered.SA",0.937,1.63031498655433e-06,6.19717927255441e-06,1
"CTE","target.trial",0.941,2.15763560022411e-05,4.97112787515984e-06,1
"CTE","TWFE",0.953,3.1904545747557e-06,1.76552379451832e-07,1
"CTE","TWFE.ever.adopted",0.567,8.56467259567058e-06,1.07784497189145e-06,1
"DTE..1","group.time.ATT",0.999,-7.37867658301397e-05,8.90335836791275e-06,0
"DTE..1","group.time.ATT.ever.adopted",0.95,0.000130583623975095,3.00179167106588e-05,0.025
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.981,-5.9654954038173e-05,3.8928536377663e-05,0.009
"DTE..1","TWFE.ever.adopted",0.962,-0.000168534666486574,7.8966030093402e-05,0.018
"DTE..10","group.time.ATT",0.999,0.000131535925145694,8.76208874948095e-06,0
"DTE..10","group.time.ATT.ever.adopted",0.939,0.000117523662536078,2.98669023238215e-05,0.035
"DTE..10","stacked.regression",0.948,5.78544725690825e-05,9.04625829134755e-06,0.03
"DTE..10","TWFE",0.973,6.1945681621482e-06,3.96831918057752e-05,0.014
"DTE..10","TWFE.ever.adopted",0.978,5.37357987760335e-05,5.00050439103952e-05,0.011
"DTE..11","group.time.ATT",0.999,-0.000128025765273777,8.69053907053248e-06,0
"DTE..11","group.time.ATT.ever.adopted",0.954,-7.10280261515152e-05,2.99479379333499e-05,0.022
"DTE..11","stacked.regression",0.956,-7.3681452576612e-05,8.62016578366365e-06,0.023
"DTE..11","TWFE",0.977,-0.000124632019224167,3.8718144957633e-05,0.01
"DTE..11","TWFE.ever.adopted",0.974,-0.000174352229767615,8.27984772535364e-05,0.011
"DTE..12","group.time.ATT",0.997,7.65950887209564e-05,9.1890719177143e-06,0.003
"DTE..12","group.time.ATT.ever.adopted",0.958,0.00011155688481711,3.0200359194551e-05,0.021
"DTE..12","stacked.regression",0.935,5.43443126971651e-05,9.67669051869929e-06,0.029
"DTE..12","TWFE",0.973,4.19835851140974e-06,4.06116488296784e-05,0.015
"DTE..12","TWFE.ever.adopted",0.975,1.1333237378437e-06,5.21928632039249e-05,0.012
"DTE..13","group.time.ATT",0.998,-4.93976230337982e-05,9.19996657569262e-06,0
"DTE..13","group.time.ATT.ever.adopted",0.967,-5.72887966901614e-05,2.79474887748054e-05,0.019
"DTE..13","stacked.regression",0.947,-2.22507760237915e-05,9.58854494452345e-06,0.022
"DTE..13","TWFE",0.977,-7.42173316443454e-05,3.94982056628777e-05,0.012
"DTE..13","TWFE.ever.adopted",0.965,-0.000177160228457822,8.76819974272578e-05,0.017
"DTE..14","group.time.ATT",0.999,-0.000140270411004023,8.93206136884857e-06,0
"DTE..14","group.time.ATT.ever.adopted",0.962,-0.000179577073480928,3.04468478000537e-05,0.023
"DTE..14","stacked.regression",0.944,2.7146847010007e-05,9.37059335838099e-06,0.033
"DTE..14","TWFE",0.977,-6.92692938444595e-06,3.9505722857554e-05,0.012
"DTE..14","TWFE.ever.adopted",0.976,4.16407362749761e-05,5.10783369304293e-05,0.014
"DTE..15","group.time.ATT",0.999,8.52936316602853e-05,8.79187893483762e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.955,0.000186481981037689,3.15988396034998e-05,0.02
"DTE..15","stacked.regression",0.942,0.000167417258014029,9.08760973114324e-06,0.027
"DTE..15","TWFE",0.981,0.000125628481351258,3.89575235996992e-05,0.011
"DTE..15","TWFE.ever.adopted",0.963,4.42616592104129e-05,8.68883759586862e-05,0.015
"DTE..16","group.time.ATT",0.999,6.3252260076185e-05,9.17399217363325e-06,0
"DTE..16","group.time.ATT.ever.adopted",0.965,1.17538602113744e-06,2.98255308406073e-05,0.025
"DTE..16","stacked.regression",0.945,8.21236263537441e-05,9.57477311743889e-06,0.023
"DTE..16","TWFE",0.979,2.44535214335027e-05,3.95916960602736e-05,0.01
"DTE..16","TWFE.ever.adopted",0.972,2.37897630021598e-06,5.31888736384692e-05,0.019
"DTE..17","group.time.ATT",0.996,-0.00010861348845857,9.35163903208251e-06,0.003
"DTE..17","group.time.ATT.ever.adopted",0.96,0.000103810342292163,2.85810226279228e-05,0.019
"DTE..17","stacked.regression",0.939,1.8871366277559e-05,9.45469411330495e-06,0.025
"DTE..17","TWFE",0.978,-3.67575227966083e-05,3.93448264438732e-05,0.013
"DTE..17","TWFE.ever.adopted",0.963,-0.000147135577833199,8.75184751516965e-05,0.019
"DTE..18","group.time.ATT",0.998,0.00010583326893958,9.43388286453674e-06,0.001
"DTE..18","group.time.ATT.ever.adopted",0.962,-0.00014838337309065,2.97863978985503e-05,0.018
"DTE..18","stacked.regression",0.942,0.000127484854736129,9.65745440611223e-06,0.019
"DTE..18","TWFE",0.975,6.10205641751658e-05,3.86716560198955e-05,0.013
"DTE..18","TWFE.ever.adopted",0.985,2.17786573462015e-05,4.78298004338752e-05,0.009
"DTE..19","group.time.ATT",0.993,-2.84609839468867e-06,9.20609733266333e-06,0.004
"DTE..19","group.time.ATT.ever.adopted",0.953,-3.52599044976795e-05,3.07236582795972e-05,0.018
"DTE..19","stacked.regression",0.942,2.16515857965496e-05,9.53835724121276e-06,0.031
"DTE..19","TWFE",0.975,2.47360494425693e-08,3.9734502040905e-05,0.011
"DTE..19","TWFE.ever.adopted",0.971,-7.2339187485437e-06,8.7801911782515e-05,0.015
"DTE..2","group.time.ATT",1,4.75854003042368e-05,8.80614669349024e-06,0
"DTE..2","group.time.ATT.ever.adopted",0.961,-4.57429201371615e-05,2.93356589020833e-05,0.022
"DTE..2","stacked.regression",0.948,7.37867658301398e-05,8.90335836791275e-06,0.024
"DTE..2","TWFE",0.977,6.49019225993115e-06,3.93208693508801e-05,0.012
"DTE..2","TWFE.ever.adopted",0.975,-4.82832110204052e-05,5.14121053558407e-05,0.014
"DTE..20","group.time.ATT",0.996,0.000179867793239156,9.3191981871268e-06,0.001
"DTE..20","group.time.ATT.ever.adopted",0.966,8.84512327359879e-05,2.93229276653451e-05,0.018
"DTE..20","stacked.regression",0.947,2.44976841912381e-05,9.58576615453356e-06,0.015
"DTE..20","TWFE",0.973,-7.38046298606445e-06,3.87573309487833e-05,0.011
"DTE..20","TWFE.ever.adopted",0.972,5.95751896651593e-05,5.22661485566346e-05,0.012
"DTE..21","group.time.ATT",0.996,-0.000225299693773027,8.96512427457073e-06,0.003
"DTE..21","group.time.ATT.ever.adopted",0.958,-7.40075703064873e-05,2.90516410049384e-05,0.026
"DTE..21","stacked.regression",0.935,-0.000155370109047918,9.28614139768627e-06,0.032
"DTE..21","TWFE",0.977,-0.000185454170612685,3.93838035632123e-05,0.014
"DTE..21","TWFE.ever.adopted",0.963,-0.000216407753404138,9.08809428489729e-05,0.016
"DTE..22","group.time.ATT",0.997,6.3663611487106e-06,9.31401849017307e-06,0.002
"DTE..22","group.time.ATT.ever.adopted",0.951,-5.84395484064933e-05,2.87229725707014e-05,0.026
"DTE..22","stacked.regression",0.945,6.99295847251083e-05,9.52205453722716e-06,0.03
"DTE..22","TWFE",0.979,3.43180253189769e-05,3.87186356666612e-05,0.012
"DTE..22","TWFE.ever.adopted",0.981,9.58391105344955e-05,5.1734586550566e-05,0.008
"DTE..23","group.time.ATT",1,2.4921853619034e-05,8.86463692165974e-06,0
"DTE..23","group.time.ATT.ever.adopted",0.962,0.000158068901697077,3.05946200110339e-05,0.016
"DTE..23","stacked.regression",0.946,6.35632235763975e-05,8.92851959453997e-06,0.031
"DTE..23","TWFE",0.982,2.00857462797447e-05,3.83295799077024e-05,0.008
"DTE..23","TWFE.ever.adopted",0.967,-3.04235045500944e-05,8.8167019799581e-05,0.017
"DTE..24","group.time.ATT",0.999,0.000106731502560305,8.53164147888486e-06,0.001
"DTE..24","group.time.ATT.ever.adopted",0.964,0.000176690428093499,2.79245220223488e-05,0.018
"DTE..24","stacked.regression",0.948,3.86413699573637e-05,9.41566719918265e-06,0.02
"DTE..24","TWFE",0.977,-2.76095295564711e-05,3.89136033238017e-05,0.009
"DTE..24","TWFE.ever.adopted",0.98,-6.77430705986224e-05,4.73327030315889e-05,0.01
"DTE..25","group.time.ATT",0.997,-3.65742311325879e-05,9.75778634809987e-06,0
"DTE..25","group.time.ATT.ever.adopted",0.96,-0.000227576999196751,2.92766491798139e-05,0.022
"DTE..25","stacked.regression",0.943,-6.80901326029417e-05,9.53236191950942e-06,0.033
"DTE..25","TWFE",0.978,-0.000124639984591766,3.90848958849818e-05,0.013
"DTE..25","TWFE.ever.adopted",0.964,-0.000234713709518737,9.11499639970865e-05,0.017
"DTE..26","group.time.ATT",0.998,5.21088418373648e-05,8.59282272913555e-06,0.001
"DTE..26","group.time.ATT.ever.adopted",0.964,7.77257359423741e-05,2.8867969064281e-05,0.021
"DTE..26","stacked.regression",0.958,-3.15159014703537e-05,8.96040383707714e-06,0.018
"DTE..26","TWFE",0.976,-5.94313953596458e-05,4.03556917393763e-05,0.011
"DTE..26","TWFE.ever.adopted",0.975,1.13884312187653e-05,5.42511153725864e-05,0.011
"DTE..27","group.time.ATT",0.997,-4.23238389743517e-05,8.30985318415042e-06,0.003
"DTE..27","group.time.ATT.ever.adopted",0.957,-1.10903876053133e-05,3.06450913045203e-05,0.023
"DTE..27","stacked.regression",0.953,-8.36247433077185e-05,8.74044533794637e-06,0.025
"DTE..27","TWFE",0.976,-0.00014281935369033,3.91735774849998e-05,0.012
"DTE..27","TWFE.ever.adopted",0.966,-0.000327491420333603,9.27914804632105e-05,0.012
"DTE..28","group.time.ATT",0.997,-5.94351941410323e-05,9.13908959935796e-06,0.002
"DTE..28","group.time.ATT.ever.adopted",0.964,7.09715862979943e-06,3.04001675399241e-05,0.021
"DTE..28","stacked.regression",0.951,-4.13009043333667e-05,8.9626845811372e-06,0.024
"DTE..28","TWFE",0.978,-6.16384410296201e-05,3.94555350303696e-05,0.013
"DTE..28","TWFE.ever.adopted",0.972,5.49356363248014e-05,5.35186377850392e-05,0.015
"DTE..29","group.time.ATT",0.997,-0.000100511042339607,8.95721438007408e-06,0
"DTE..29","group.time.ATT.ever.adopted",0.956,-5.98986330966371e-05,2.99250684326138e-05,0.023
"DTE..29","stacked.regression",0.952,1.81342898076657e-05,8.517179825183e-06,0.023
"DTE..29","TWFE",0.973,-2.47769485166446e-05,4.04606570759654e-05,0.012
