"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.946,2.80529852451261e-06,3.3152532691268e-06,1
"CTE","group.time.ATT.ever.adopted",0.928,6.31300928693575e-05,5.98242602173384e-06,1
"CTE","staggered.SA",0.929,2.80529852451271e-06,3.3152532691268e-06,1
"CTE","target.trial",0.944,2.80529852451291e-06,3.3152532691268e-06,1
"CTE","TWFE",0.957,8.46456036257525e-06,2.4573824038105e-07,1
"CTE","TWFE.ever.adopted",0.852,3.90759201771994e-05,4.82171448357486e-07,1
"DTE..1","group.time.ATT",0.996,2.32453111949865e-05,5.67405043584275e-06,0.002
"DTE..1","group.time.ATT.ever.adopted",0.995,0.000179653087810629,9.66636596966474e-06,0.002
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.943,0.000218089249007036,1.00719043490223e-05,0.024
"DTE..1","TWFE.ever.adopted",0.963,3.13241546432676e-05,1.60016390714335e-05,0.019
"DTE..10","group.time.ATT",0.996,-3.68064181351741e-05,6.20459979760593e-06,0.003
"DTE..10","group.time.ATT.ever.adopted",0.993,-3.04949568523705e-05,8.97805060578046e-06,0.003
"DTE..10","stacked.regression",0.945,-2.31021836833992e-05,5.31596278129766e-06,0.024
"DTE..10","TWFE",0.955,0.000191247327870631,1.0010169663387e-05,0.021
"DTE..10","TWFE.ever.adopted",0.956,1.5416502151231e-05,1.47769773440722e-05,0.023
"DTE..11","group.time.ATT",0.992,4.87595032167553e-06,5.88368708275714e-06,0.003
"DTE..11","group.time.ATT.ever.adopted",0.992,4.49822385848014e-05,8.49863221673117e-06,0.006
"DTE..11","stacked.regression",0.955,1.3704234451775e-05,5.47801833175603e-06,0.021
"DTE..11","TWFE",0.949,0.000261154444295094,1.00056135335495e-05,0.017
"DTE..11","TWFE.ever.adopted",0.954,9.5389613677871e-05,1.50524515031985e-05,0.02
"DTE..12","group.time.ATT",0.992,3.23600503907391e-05,5.87409897518223e-06,0.004
"DTE..12","group.time.ATT.ever.adopted",0.992,-0.000107845661825911,8.20405274988974e-06,0.004
"DTE..12","stacked.regression",0.946,8.82828413009953e-06,5.96277936007946e-06,0.025
"DTE..12","TWFE",0.946,0.000246987325887895,1.03984368288551e-05,0.02
"DTE..12","TWFE.ever.adopted",0.952,4.02559558632347e-05,1.62280393379282e-05,0.025
"DTE..13","group.time.ATT",0.999,-6.68150754628219e-05,5.4767250575075e-06,0.001
"DTE..13","group.time.ATT.ever.adopted",0.993,5.90475654335947e-05,8.4016406014743e-06,0.004
"DTE..13","stacked.regression",0.957,-2.35317662606396e-05,5.20730202162777e-06,0.019
"DTE..13","TWFE",0.946,0.000275935416681868,1.00651648556211e-05,0.027
"DTE..13","TWFE.ever.adopted",0.951,0.000151588020039847,1.54358984393231e-05,0.022
"DTE..14","group.time.ATT",0.995,8.31571086496271e-05,5.73188743889771e-06,0.003
"DTE..14","group.time.ATT.ever.adopted",0.989,-3.09426396496314e-05,9.24815422129345e-06,0.006
"DTE..14","stacked.regression",0.939,4.32833092021824e-05,5.64844289469442e-06,0.025
"DTE..14","TWFE",0.944,0.000276944032106166,1.04922244291773e-05,0.023
"DTE..14","TWFE.ever.adopted",0.956,8.68693587775743e-05,1.4037248489269e-05,0.022
"DTE..15","group.time.ATT",0.998,2.45912099259216e-05,5.53537047361196e-06,0.002
"DTE..15","group.time.ATT.ever.adopted",0.995,7.19704812196928e-05,8.36810751553488e-06,0.002
"DTE..15","stacked.regression",0.951,-3.98737994474447e-05,5.62234211843084e-06,0.026
"DTE..15","TWFE",0.941,0.000227399111806252,1.00765536429404e-05,0.027
"DTE..15","TWFE.ever.adopted",0.956,0.000120578739332927,1.22665564177774e-05,0.023
"DTE..16","group.time.ATT",0.998,-5.22557288958576e-05,5.76941387762974e-06,0
"DTE..16","group.time.ATT.ever.adopted",0.991,-8.81081133946925e-06,8.95796338106891e-06,0.003
"DTE..16","stacked.regression",0.961,-6.44650093733661e-05,5.50471717402929e-06,0.018
"DTE..16","TWFE",0.939,0.000186913141643058,9.96676145376206e-06,0.023
"DTE..16","TWFE.ever.adopted",0.951,8.49018735866781e-05,1.19419697062319e-05,0.024
"DTE..17","group.time.ATT",0.993,-7.09955605462925e-06,5.48898065925111e-06,0.005
"DTE..17","group.time.ATT.ever.adopted",0.991,3.45277360017176e-05,8.74401320118369e-06,0.005
"DTE..17","stacked.regression",0.949,-1.22092804775086e-05,5.81468782218409e-06,0.029
"DTE..17","TWFE",0.936,0.000209167284986135,1.03806226664491e-05,0.03
"DTE..17","TWFE.ever.adopted",0.95,6.14287650154441e-05,1.38387932487972e-05,0.025
