"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.925,-6.98461700093393e-05,3.06860587181539e-06,1
"CTE","group.time.ATT.ever.adopted",0.924,-8.99302744540812e-05,5.5381244714138e-06,1
"CTE","staggered.SA",0.936,-6.45066611090195e-05,3.0201816326967e-06,1
"CTE","target.trial",0.938,-6.169269598881e-05,3.04622922328284e-06,1
"CTE","TWFE",0.95,6.10336945840373e-06,1.33859232870576e-07,1
"CTE","TWFE.ever.adopted",0.68,-3.77206450774584e-06,5.38905628239972e-07,1
"DTE..1","group.time.ATT",0.998,8.93836217877246e-05,5.87314224836607e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",0.995,4.34641768562298e-06,9.00373240011835e-06,0.003
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.949,9.74337620011785e-05,1.01299578805232e-05,0.017
"DTE..1","TWFE.ever.adopted",0.955,0.000127043770589602,4.16909919279044e-05,0.016
"DTE..10","group.time.ATT",0.995,-8.08493978681631e-05,6.13171017181056e-06,0.003
"DTE..10","group.time.ATT.ever.adopted",0.996,-7.23986015894439e-06,8.12578652865233e-06,0.003
"DTE..10","stacked.regression",0.949,-0.000164733625052618,5.97787960417705e-06,0.027
"DTE..10","TWFE",0.955,-4.63699047346609e-05,9.66875629128435e-06,0.023
"DTE..10","TWFE.ever.adopted",0.942,-0.000331214323042059,4.82395506263442e-05,0.032
"DTE..11","group.time.ATT",0.997,-1.70341013666165e-05,6.03463264959671e-06,0.001
"DTE..11","group.time.ATT.ever.adopted",0.996,1.50596960521493e-05,8.84464410920983e-06,0.001
"DTE..11","stacked.regression",0.933,-8.38842271844548e-05,6.52609212343171e-06,0.035
"DTE..11","TWFE",0.952,1.96270603498608e-05,9.63252831776094e-06,0.025
"DTE..11","TWFE.ever.adopted",0.954,-0.000129584703199571,4.49330446725426e-05,0.03
"DTE..12","group.time.ATT",1,-2.09470418846347e-05,5.51221032382868e-06,0
"DTE..12","group.time.ATT.ever.adopted",0.999,-6.26874641817099e-05,8.45555872863349e-06,0.001
"DTE..12","stacked.regression",0.956,-6.68501258178384e-05,5.88886908583737e-06,0.016
"DTE..12","TWFE",0.948,6.35488592539204e-05,1.02203972371033e-05,0.021
"DTE..12","TWFE.ever.adopted",0.941,8.43101107999945e-05,1.45868821602877e-05,0.03
"DTE..13","group.time.ATT",0.998,3.07459769172687e-05,5.90206621835187e-06,0.001
"DTE..13","group.time.ATT.ever.adopted",0.995,1.52727423672061e-05,8.4463711196781e-06,0.003
"DTE..13","stacked.regression",0.938,-4.59030839332036e-05,6.2769895907049e-06,0.025
"DTE..13","TWFE",0.955,5.95398278688724e-05,1.01237791491945e-05,0.018
"DTE..13","TWFE.ever.adopted",0.94,-4.38273678146534e-05,5.34871542032268e-05,0.024
"DTE..14","group.time.ATT",0.995,-7.42947066726731e-05,5.74360618983853e-06,0.005
"DTE..14","group.time.ATT.ever.adopted",0.996,-2.83218767366488e-05,8.61222345541522e-06,0.002
"DTE..14","stacked.regression",0.954,-7.66490608504724e-05,5.95437281834327e-06,0.027
"DTE..14","TWFE",0.953,4.73316287031234e-05,9.96958245091448e-06,0.021
"DTE..14","TWFE.ever.adopted",0.956,3.07395174744632e-05,4.85458278341187e-05,0.017
"DTE..15","group.time.ATT",0.999,4.05164086948077e-05,5.48310543092478e-06,0
"DTE..15","group.time.ATT.ever.adopted",0.992,0.000144668106670829,8.99890675199282e-06,0.005
"DTE..15","stacked.regression",0.963,-2.35435417779923e-06,5.60271918177817e-06,0.019
"DTE..15","TWFE",0.953,0.000110841051738073,9.87523807383578e-06,0.021
"DTE..15","TWFE.ever.adopted",0.953,0.000116758583171395,4.69439126279844e-05,0.022
"DTE..16","group.time.ATT",0.996,0.000126571651723278,5.70462058645823e-06,0.003
"DTE..16","group.time.ATT.ever.adopted",0.994,-9.6730292392258e-06,8.6131496400939e-06,0.005
"DTE..16","stacked.regression",0.947,-4.28707628726068e-05,5.79873668376565e-06,0.028
"DTE..16","TWFE",0.952,4.45403251232337e-05,1.02302700633119e-05,0.024
"DTE..16","TWFE.ever.adopted",0.953,-0.000258541861056152,4.99198166333091e-05,0.025
"DTE..17","group.time.ATT",0.998,-2.82594641557663e-05,6.02216090513286e-06,0.002
"DTE..17","group.time.ATT.ever.adopted",0.99,-6.85054878852722e-05,8.49958561748229e-06,0.006
"DTE..17","stacked.regression",0.941,-0.000169442414595885,5.17730514532178e-06,0.036
"DTE..17","TWFE",0.951,-5.43384298271807e-05,1.00048144900108e-05,0.029
"DTE..17","TWFE.ever.adopted",0.941,-2.17661750395076e-05,5.17169603929136e-05,0.028
"DTE..18","group.time.ATT",0.997,-9.67199816373525e-05,6.51909434972477e-06,0.002
