"parameter","method","coverage","bias","MSE","power"
"CTE","group.time.ATT",0.926,-6.50266112471629e-07,3.15082824818505e-06,1
"CTE","group.time.ATT.ever.adopted",0.922,-3.2573932361386e-05,5.53116625013437e-06,1
"CTE","staggered.SA",0.94,6.84837092983663e-07,3.09453592493621e-06,1
"CTE","TWFE",0.959,-2.07102794945894e-05,1.23328170741285e-07,1
"CTE","TWFE.ever.adopted",0.688,-3.46574196543441e-05,5.0251392363659e-07,1
"DTE..1","group.time.ATT",0.999,-2.87809480989268e-05,5.88297180105849e-06,0.001
"DTE..1","group.time.ATT.ever.adopted",1,7.61611564625228e-05,8.99465725032428e-06,0
"DTE..1","stacked.regression",1,0,0,0
"DTE..1","TWFE",0.944,-5.47378486841455e-07,1.10570060957505e-05,0.035
"DTE..1","TWFE.ever.adopted",0.951,0.000192596632981303,4.14993560142154e-05,0.021
"DTE..10","group.time.ATT",0.998,-8.21297715178683e-05,6.050969879892e-06,0.002
"DTE..10","group.time.ATT.ever.adopted",0.995,-0.000209769498168005,8.45416221835844e-06,0.004
"DTE..10","stacked.regression",0.953,2.72085245453462e-05,6.24955858946563e-06,0.025
"DTE..10","TWFE",0.947,-7.90531369425379e-06,1.10741536980508e-05,0.03
"DTE..10","TWFE.ever.adopted",0.946,0.000145233229097609,4.84880607943381e-05,0.025
"DTE..11","group.time.ATT",0.999,5.93338644617073e-05,6.14586988737172e-06,0
"DTE..11","group.time.ATT.ever.adopted",0.994,0.000125024582863821,8.24761478574617e-06,0.004
"DTE..11","stacked.regression",0.947,0.000109338296063215,6.20549646339995e-06,0.023
"DTE..11","TWFE",0.946,0.000103029500305378,1.0673358265878e-05,0.026
"DTE..11","TWFE.ever.adopted",0.936,0.000484690235970613,4.90024789993636e-05,0.021
"DTE..12","group.time.ATT",0.998,-1.60762605678781e-05,5.74000871807716e-06,0.001
"DTE..12","group.time.ATT.ever.adopted",0.993,-2.02010392478016e-05,8.11949818259562e-06,0.004
"DTE..12","stacked.regression",0.94,5.00044316015072e-05,6.19846618095833e-06,0.03
"DTE..12","TWFE",0.941,1.09528783483004e-06,1.0564781213984e-05,0.029
"DTE..12","TWFE.ever.adopted",0.951,-0.00012638108913327,1.46940196990426e-05,0.032
"DTE..13","group.time.ATT",0.996,0.000177100687447653,5.86953743247423e-06,0.003
"DTE..13","group.time.ATT.ever.adopted",0.99,0.00011559416046202,8.69665322664979e-06,0.006
"DTE..13","stacked.regression",0.946,6.60806921693852e-05,6.31552532889954e-06,0.022
"DTE..13","TWFE",0.94,5.28113322390452e-05,1.10515498651537e-05,0.033
"DTE..13","TWFE.ever.adopted",0.94,0.000249978202438592,5.33673838620045e-05,0.03
"DTE..14","group.time.ATT",0.994,-0.000107433860281502,5.7735046265696e-06,0.004
"DTE..14","group.time.ATT.ever.adopted",0.997,-0.000123442633913631,8.291816659713e-06,0.001
